Date,Oxygen saturation(%),Time REM(hr),Time asleep(hr),Time awake(hr),Time core(hr),Time deep(hr),Time in bed(hr)
2022-11-01 02:25:50 - 2022-11-01 08:00:00,,,,,,,5.570
2022-11-02 01:11:21 - 2022-11-02 07:31:50,,,,,,,6.341
2022-11-03 00:59:52 - 2022-11-03 08:00:02,,,,,,,7.003
2022-11-04 01:12:49 - 2022-11-04 08:00:00,,,,,,,6.787
2022-11-05 01:56:52 - 2022-11-05 01:59:56,,,,,,,0.051
2022-11-05 02:47:50 - 2022-11-05 08:00:00,,,,,,,5.203
2022-11-06 04:38:48 - 2022-11-06 08:00:00,,,,,,,3.354
2022-11-07 01:52:50 - 2022-11-07 07:55:42,,,,,,,6.048
2022-11-07 01:59:00 - 2022-11-07 07:40:00,,,5.683,,,,
2022-11-07 07:56:15 - 2022-11-07 08:00:00,,,,,,,0.063
2022-11-08 01:10:22 - 2022-11-08 08:00:00,,,,,,,6.827
2022-11-09 02:27:30 - 2022-11-09 07:30:14,,,,,,,5.046
2022-11-09 07:33:37 - 2022-11-09 08:00:00,,,,,,,0.440
2022-11-10 01:15:38 - 2022-11-10 08:00:01,,,,,,,6.740
2022-11-11 02:10:59 - 2022-11-11 08:00:00,,,,,,,5.817
2022-11-12 01:16:42 - 2022-11-12 08:00:00,,,,,,,6.722
2022-11-12 02:06:00 - 2022-11-12 09:06:00,,,7.000,,,,
2022-11-13 03:00:39 - 2022-11-13 08:00:00,,,,,,,4.989
2022-11-13 03:17:00 - 2022-11-13 09:22:00,,,6.083,,,,
2022-11-14 01:24:59 - 2022-11-14 07:28:43,,,,,,,6.062
2022-11-14 07:29:06 - 2022-11-14 07:31:05,,,,,,,0.033
2022-11-15 00:32:38 - 2022-11-15 08:00:01,,,,,,,7.456
2022-11-16 01:07:59 - 2022-11-16 07:27:28,,,,,,,6.325
2022-11-16 01:28:00 - 2022-11-16 07:41:00,,,6.217,,,,
2022-11-16 07:28:26 - 2022-11-16 07:35:25,,,,,,,0.117
2022-11-17 01:12:39 - 2022-11-17 07:56:35,,,,,,,6.732
2022-11-17 07:59:29 - 2022-11-17 08:00:00,,,,,,,0.009
2022-11-17 22:03:31,0.960,,,,,,
2022-11-17 23:39:00,0.980,,,,,,
2022-11-18 00:47:42 - 2022-11-18 01:19:59,,,,,,,0.538
2022-11-18 01:20:21 - 2022-11-18 01:20:30,,,,,,,0.002
2022-11-18 01:20:31 - 2022-11-18 08:00:00,,,,,,,6.658
2022-11-18 01:40:52,0.980,,,,,,
2022-11-18 02:40:58,0.940,,,,,,
2022-11-18 03:10:59,0.970,,,,,,
2022-11-18 03:52:55,0.980,,,,,,
2022-11-18 04:22:56,0.950,,,,,,
2022-11-18 04:52:56,0.890,,,,,,
2022-11-18 05:29:32,0.960,,,,,,
2022-11-18 06:29:36,0.950,,,,,,
2022-11-18 07:06:37,0.950,,,,,,
2022-11-18 07:37:03,0.960,,,,,,
2022-11-18 08:31:46,0.940,,,,,,
2022-11-18 09:08:12,0.950,,,,,,
2022-11-18 13:19:40,0.940,,,,,,
2022-11-18 16:09:50,0.970,,,,,,
2022-11-18 18:29:37,0.960,,,,,,
2022-11-18 18:59:53,0.960,,,,,,
2022-11-18 19:33:23,0.960,,,,,,
2022-11-18 21:12:47,0.980,,,,,,
2022-11-18 22:13:21,0.980,,,,,,
2022-11-18 23:21:25 - 2022-11-18 23:23:07,,,,,,,0.028
2022-11-18 23:51:35 - 2022-11-18 23:59:06,,,,,,,0.125
2022-11-19 00:01:34 - 2022-11-19 00:13:58,,,,,,,0.207
2022-11-19 00:06:42,0.980,,,,,,
2022-11-19 01:27:12 - 2022-11-19 08:00:01,,,,,,,6.547
2022-11-19 01:27:29 - 2022-11-19 05:31:29,,,4.067,,,,
2022-11-19 01:36:42,0.950,,,,,,
2022-11-19 02:11:51,0.940,,,,,,
2022-11-19 02:43:51,0.970,,,,,,
2022-11-19 03:13:52,0.980,,,,,,
2022-11-19 03:43:52,0.980,,,,,,
2022-11-19 04:14:01,0.940,,,,,,
2022-11-19 04:44:01,0.950,,,,,,
2022-11-19 05:14:02,0.970,,,,,,
2022-11-19 05:32:59 - 2022-11-19 08:46:29,,,3.225,,,,
2022-11-19 08:42:02,0.950,,,,,,
2022-11-19 08:55:59 - 2022-11-19 08:57:59,,,0.033,,,,
2022-11-19 16:10:39,1.000,,,,,,
2022-11-19 21:27:05,0.960,,,,,,
2022-11-19 23:40:06 - 2022-11-19 23:50:02,,,,,,,0.166
2022-11-19 23:51:20 - 2022-11-19 23:59:13,,,,,,,0.131
2022-11-20 00:01:28 - 2022-11-20 00:10:26,,,,,,,0.149
2022-11-20 00:19:35 - 2022-11-20 00:21:33,,,,,,,0.033
2022-11-20 00:21:35 - 2022-11-20 00:34:00,,,,,,,0.207
2022-11-20 00:37:00 - 2022-11-20 00:42:28,,,,,,,0.091
2022-11-20 00:43:10 - 2022-11-20 00:53:18,,,,,,,0.169
2022-11-20 00:55:02 - 2022-11-20 01:03:54,,,,,,,0.148
2022-11-20 01:04:17 - 2022-11-20 01:15:08,,,,,,,0.181
2022-11-20 01:15:40 - 2022-11-20 01:21:47,,,,,,,0.102
2022-11-20 02:04:17,0.990,,,,,,
2022-11-20 02:38:33 - 2022-11-20 02:38:39,,,,,,,0.002
2022-11-20 02:47:34 - 2022-11-20 08:00:00,,,,,,,5.207
2022-11-20 02:48:26 - 2022-11-20 09:39:26,,,6.850,,,,
2022-11-20 04:52:20,0.950,,,,,,
2022-11-20 05:22:21,0.920,,,,,,
2022-11-20 06:29:12,0.950,,,,,,
2022-11-20 07:44:16,0.940,,,,,,
2022-11-20 08:46:07,0.950,,,,,,
2022-11-20 09:16:08,0.970,,,,,,
2022-11-20 21:39:35,0.990,,,,,,
2022-11-20 22:43:56,0.970,,,,,,
2022-11-21 02:25:40,0.960,,,,,,
2022-11-21 02:55:41,0.950,,,,,,
2022-11-21 04:30:24,0.940,,,,,,
2022-11-21 06:05:46,0.930,,,,,,
2022-11-21 06:35:47,0.970,,,,,,
2022-11-21 07:16:30,0.950,,,,,,
2022-11-21 22:30:01 - 2022-11-21 23:39:34,,,,,,,1.159
2022-11-21 23:41:27 - 2022-11-21 23:41:34,,,,,,,0.002
2022-11-21 23:42:45 - 2022-11-21 23:54:05,,,,,,,0.189
2022-11-21 23:55:48 - 2022-11-21 23:55:52,,,,,,,0.001
2022-11-22 00:17:28 - 2022-11-22 00:19:21,,,,,,,0.031
2022-11-22 00:21:34 - 2022-11-22 07:30:02,,,,,,,7.141
2022-11-22 01:06:21,0.990,,,,,,
2022-11-22 01:18:22 - 2022-11-22 04:01:52,,,2.725,,,,
