Date,Environmental sound levels(dBASPL),Headphone sound levels(dBASPL),Oxygen saturation(%)
2023-05-29 00:04:38 - 2023-05-29 00:34:33,75.138,,
2023-05-29 00:34:33 - 2023-05-29 01:04:28,47.379,,
2023-05-29 01:04:28 - 2023-05-29 01:34:23,50.629,,
2023-05-29 01:14:25,,,0.940
2023-05-29 01:34:23 - 2023-05-29 02:04:23,50.812,,
2023-05-29 01:59:33,,,0.970
2023-05-29 02:04:23 - 2023-05-29 02:34:23,57.644,,
2023-05-29 02:29:34,,,0.940
2023-05-29 02:34:23 - 2023-05-29 03:04:23,45.050,,
2023-05-29 03:04:23 - 2023-05-29 03:34:18,55.903,,
2023-05-29 03:14:02,,,0.950
2023-05-29 03:34:18 - 2023-05-29 04:04:13,33.023,,
2023-05-29 03:44:03,,,0.930
2023-05-29 04:04:13 - 2023-05-29 04:34:13,50.364,,
2023-05-29 04:14:04,,,0.940
2023-05-29 04:34:13 - 2023-05-29 05:04:08,50.931,,
2023-05-29 04:44:49,,,0.970
2023-05-29 05:04:08 - 2023-05-29 05:34:08,53.625,,
2023-05-29 05:34:08 - 2023-05-29 06:04:05,39.247,,
2023-05-29 05:44:20,,,0.920
2023-05-29 06:04:05 - 2023-05-29 06:34:05,45.469,,
2023-05-29 06:14:20,,,0.970
2023-05-29 06:34:05 - 2023-05-29 07:04:05,56.393,,
2023-05-29 07:04:05 - 2023-05-29 07:34:05,48.611,,
2023-05-29 07:14:21,,,0.960
2023-05-29 07:34:05 - 2023-05-29 08:04:05,58.424,,
2023-05-29 07:44:22,,,0.970
2023-05-29 08:04:05 - 2023-05-29 08:34:05,56.967,,
2023-05-29 08:21:38,,,0.970
2023-05-29 08:34:05 - 2023-05-29 09:04:01,54.718,,
2023-05-29 08:59:10,,,0.940
2023-05-29 09:04:01 - 2023-05-29 09:34:01,56.065,,
2023-05-29 09:34:01 - 2023-05-29 10:03:56,50.517,,
2023-05-29 09:35:03,,,0.980
2023-05-29 10:03:56 - 2023-05-29 10:33:51,54.828,,
2023-05-29 10:05:04,,,0.960
2023-05-29 10:33:51 - 2023-05-29 11:03:50,62.332,,
2023-05-29 10:35:05,,,0.970
2023-05-29 11:03:50 - 2023-05-29 11:33:50,46.266,,
2023-05-29 11:33:50 - 2023-05-29 12:03:50,51.249,,
2023-05-29 12:00:02,,,0.990
2023-05-29 12:03:50 - 2023-05-29 12:23:40,63.535,,
2023-05-29 13:53:11 - 2023-05-29 14:23:11,81.322,,
