Date,Active energy burned(kcal),Apple Watch stand hours(hr),Basal energy burned(kcal),Distance cycling(km),Distance walking / running(km),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2023-05-29 00:02:00,,,0.552,,,,,,,,,
2023-05-29 00:03:00,,,1.172,,,,,55.350,,,,
2023-05-29 00:04:00,,,1.163,,,,,,,,,
2023-05-29 00:05:00,,,1.163,,,,,,,,,
2023-05-29 00:06:00,,,1.163,,,,,,,,,
2023-05-29 00:07:00,,,1.163,,,,,,,,,
2023-05-29 00:08:00,,,1.163,,,,,,,,,
2023-05-29 00:09:00,,,1.163,,,,,57.000,,,,
2023-05-29 00:10:00,,,1.163,,,,,,,,,
2023-05-29 00:11:00,,,1.163,,,,,,,,,
2023-05-29 00:12:00,,,1.163,,,,,,,,,
2023-05-29 00:13:00,,,1.163,,,,,,,,,
2023-05-29 00:14:00,,,1.163,,,,,,,,,
2023-05-29 00:15:00,,,1.163,,,,,60.000,,,,
2023-05-29 00:16:00,,,1.163,,,,,,,,,
2023-05-29 00:17:00,,,1.163,,,,,,,,22.708,
2023-05-29 00:18:00,,,1.168,,,,,,,,19.000,
2023-05-29 00:19:00,,,1.118,,,,,,,,,
2023-05-29 00:20:00,,,1.118,,,,,56.000,,,,
2023-05-29 00:21:00,,,1.118,,,,,,,,,
2023-05-29 00:22:00,,,1.118,,,,,,,,,
2023-05-29 00:23:00,,,1.118,,,,,,,,,
2023-05-29 00:24:00,,,1.118,,,,,,,,,
2023-05-29 00:25:00,,,1.118,,,,,,,,,
2023-05-29 00:26:00,,,1.118,,,,,,,,,
2023-05-29 00:27:00,,,1.118,,,,,,,,,
2023-05-29 00:28:00,,,1.118,,,,,55.000,,,,
2023-05-29 00:29:00,,,1.118,,,,,51.000,,,,
2023-05-29 00:30:00,,,1.118,,,,,,,,,
2023-05-29 00:31:00,,,1.118,,,,,,,,,
2023-05-29 00:32:00,,,1.118,,,,,,,,,
2023-05-29 00:33:00,,,1.226,,,,,,,,,
2023-05-29 00:34:00,,,1.157,,,,,,,,,
2023-05-29 00:35:00,,,1.089,,,,,,,,,
2023-05-29 00:36:00,,,1.089,,,,,54.000,,,,
2023-05-29 00:37:00,,,1.089,,,,,,,,,
2023-05-29 00:38:00,,,1.089,,,,,,,,,
2023-05-29 00:39:00,,,1.089,,,,,,,,,
2023-05-29 00:40:00,,,1.089,,,,,,,,,
2023-05-29 00:41:00,,,1.089,,,,,,,,,
2023-05-29 00:42:00,,,1.089,,,,,53.000,,,,
2023-05-29 00:43:00,,,1.089,,,,,,,,,
2023-05-29 00:44:00,,,1.089,,,,,53.000,,,,
2023-05-29 00:45:00,,,1.089,,,,,,,,,
2023-05-29 00:46:00,,,1.089,,,,,,,,,
2023-05-29 00:47:00,,,1.089,,,,,,,,,
2023-05-29 00:48:00,,,1.089,,,,,,,,,
2023-05-29 00:49:00,,,1.113,,,,,,,,,
2023-05-29 00:50:00,,,1.036,,,,,,,,,
2023-05-29 00:51:00,,,1.036,,,,,52.000,,,,
2023-05-29 00:52:00,,,1.036,,,,,,,,,
2023-05-29 00:53:00,,,1.036,,,,,52.000,,,,
2023-05-29 00:54:00,,,1.036,,,,,,,,,
2023-05-29 00:55:00,,,1.036,,,,,,,,,
2023-05-29 00:56:00,,,1.036,,,,,,,,,
2023-05-29 00:57:00,,,1.036,,,,,,,,,
2023-05-29 00:58:00,,,1.036,,,,,53.000,,,,
2023-05-29 00:59:00,,,1.036,,,,,,,,,
2023-05-29 01:00:00,,,1.036,,,,,,,,,
2023-05-29 01:01:00,,,1.036,,,,,,,,,
2023-05-29 01:02:00,,,1.036,,,,,,,,,
2023-05-29 01:03:00,,,1.036,,,,,,,,,
2023-05-29 01:04:00,,,1.036,,,,,,,,,
2023-05-29 01:05:00,,,1.036,,,,,,,,,
2023-05-29 01:06:00,,,1.090,,,,,,,,,
2023-05-29 01:07:00,,,1.146,,,,,53.000,,,,
2023-05-29 01:08:00,,,1.146,,,,,,,,,
2023-05-29 01:09:00,,,1.146,,,,,,,,,
2023-05-29 01:10:00,,,1.146,,,,,54.000,,,,
2023-05-29 01:11:00,,,1.146,,,,,,,,,
2023-05-29 01:12:00,,,1.146,,,,,,,,,
2023-05-29 01:13:00,,,1.146,,,,,,,,,
2023-05-29 01:14:00,,,1.146,,,,,60.000,,,,
2023-05-29 01:15:00,,,1.146,,,,,,,,,
2023-05-29 01:16:00,,,1.146,,,,,51.000,,,,
2023-05-29 01:17:00,,,1.146,,,,,,,,,
2023-05-29 01:18:00,,,1.146,,,,,,,,,
2023-05-29 01:19:00,,,1.146,,,,,,,,,
2023-05-29 01:20:00,,,1.146,,,,,,,,,
2023-05-29 01:21:00,,,1.163,,,,,,,,,
2023-05-29 01:22:00,,,1.178,,,,,58.000,,,,
2023-05-29 01:23:00,,,1.178,,,,,,,,,
2023-05-29 01:24:00,,,1.178,,,,,49.000,,,,
2023-05-29 01:25:00,,,1.178,,,,,,,,8.000,
2023-05-29 01:26:00,,,1.178,,,,,,,,,
2023-05-29 01:27:00,,,1.178,,,,,,,,,
2023-05-29 01:28:00,,,1.178,,,,,,,,,
2023-05-29 01:29:00,,,1.178,,,,,,,,,
2023-05-29 01:30:00,,,1.178,,,,,54.000,,,,
2023-05-29 01:31:00,,,1.178,,,,,,,,,
2023-05-29 01:32:00,,,1.178,,,,,,,,,
2023-05-29 01:33:00,,,1.178,,,,,,,,,
2023-05-29 01:34:00,,,1.178,,,,,53.000,,,,
2023-05-29 01:35:00,,,1.178,,,,,,,,,
2023-05-29 01:36:00,,,1.113,,,,,,,,,
2023-05-29 01:37:00,,,1.093,,,,,,,,,
2023-05-29 01:38:00,,,1.093,,,,,51.000,,,,
2023-05-29 01:39:00,,,1.093,,,,,,,,,
2023-05-29 01:40:00,,,1.093,,,,,,,,,
2023-05-29 01:41:00,,,1.093,,,,,,,,,
2023-05-29 01:42:00,,,1.093,,,,,,,,,
2023-05-29 01:43:00,,,1.093,,,,,,,,,
2023-05-29 01:44:00,,,1.093,,,,,53.000,,,,
2023-05-29 01:45:00,,,1.093,,,,,,,,,
2023-05-29 01:46:00,,,1.093,,,,,,,,,
2023-05-29 01:47:00,,,1.093,,,,,,,,,
2023-05-29 01:48:00,,,1.093,,,,,,,,,
2023-05-29 01:49:00,,,1.093,,,,,,,,,
2023-05-29 01:50:00,,,1.093,,,,,,,,,
2023-05-29 01:51:00,,,1.082,,,,,58.000,,,,
2023-05-29 01:52:00,,,1.076,,,,,,,,,
2023-05-29 01:53:00,,,1.076,,,,,58.000,,,,
2023-05-29 01:54:00,,,1.076,,,,,,,,,
2023-05-29 01:55:00,,,1.076,,,,,,,,,
2023-05-29 01:56:00,,,1.076,,,,,,,,,
2023-05-29 01:57:00,,,1.076,,,,,,,,,
2023-05-29 01:58:00,,,1.076,,,,,,,,,
2023-05-29 01:59:00,,,1.076,,,,,58.000,,,,
2023-05-29 02:00:00,,,1.076,,,,,59.000,,,,
2023-05-29 02:01:00,,,1.076,,,,,,,,,
2023-05-29 02:02:00,,,1.076,,,,,,,,,
2023-05-29 02:03:00,,,1.076,,,,,,,,,
2023-05-29 02:04:00,,,1.076,,,,,,,,,
2023-05-29 02:05:00,,,1.076,,,,,,,,,
2023-05-29 02:06:00,,,1.076,,,,,55.000,,,,
2023-05-29 02:07:00,,,1.194,,,,,,,,8.973,
2023-05-29 02:08:00,,,1.110,,,,,,,,5.027,
2023-05-29 02:09:00,,,1.110,,,,,,,,,
2023-05-29 02:10:00,,,1.110,,,,,53.000,,,,
