"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.011252605E0	-2.298433632E-1	4.098873138E0	7.948749542E0
2.011252605E0	2.298433632E-1	1.953668594E0	1.193270111E1
3.011252605E0	3.830722570E-1	4.213795066E-1	9.538499832E0
4.150118749E0	1.149216771E0	3.639186621E0	1.034295177E1
5.150118749E0	-7.661445439E-2	3.945644379E0	9.069235802E0
6.150118749E0	-8.427590132E-1	3.792415380E0	9.385271072E0
7.150118749E0	3.830722570E-1	4.252102375E0	8.743624687E0
8.150118749E0	-2.068590164E0	4.098873138E0	9.069235802E0
9.150118749E0	-3.141192675E0	4.558559895E0	8.111555099E0
1.033673183E1	-5.363011956E-1	3.332728863E0	9.069235802E0
1.133673183E1	7.661445439E-2	5.018246651E0	9.069235802E0
1.330029010E1	1.149216771E0	7.278373241E-1	1.479616642E1
1.430029010E1	-6.895300746E-1	1.647210717E0	6.837840080E0
1.530029010E1	-3.907337189E0	-4.635174274E0	8.427590370E0
1.630029010E1	-2.528276920E0	5.746083856E-1	9.701305389E0
1.730029010E1	-2.375048161E0	4.213795066E-1	9.864110947E0
1.830029010E1	-3.141192675E0	2.106897593E0	7.316680431E0
1.930029010E1	-4.060565948E0	3.792415380E0	6.358999729E0
2.030029010E1	-4.520252705E0	3.179499865E0	6.042964935E0
2.130029010E1	-2.221819162E0	-5.248090267E0	1.049618053E1
2.230029010E1	-2.987963676E0	-1.076433086E1	-4.932055473E0
2.330029010E1	-9.270348549E0	-4.481945515E0	-7.948749542E0
2.430029010E1	-9.576807022E0	-4.979939461E-1	-3.332728863E0
2.530029010E1	-7.738059998E0	-1.723825216E0	-1.905784607E0
2.630029010E1	-8.963891029E0	-3.830722719E-2	-6.042964935E0
2.730029010E1	-7.125144482E0	7.278373241E-1	-4.453215122E0
2.830029010E1	-5.899312973E0	4.865017891E0	-5.401319027E0
2.930029010E1	-7.891288757E0	3.485957623E0	-6.042964935E0
3.030029010E1	-9.270348549E0	1.034295082E0	-4.769249916E0
3.130029010E1	-9.117119789E0	2.681505978E-1	-5.564124584E0
3.230029010E1	-5.133168221E0	2.681505978E-1	-2.221819162E0
3.330029010E1	-6.358999729E0	-1.110909581E0	6.358999729E0
3.430029010E1	-3.830722570E-1	5.477933407E0	7.000645638E0
3.530029010E1	5.363011956E-1	1.800439715E0	1.049618053E1
3.630029010E1	-2.068590164E0	1.493981838E0	8.743624687E0
3.730029010E1	-1.302445769E0	4.711789131E0	7.948749542E0
3.830029010E1	-2.298433632E-1	7.316680431E0	7.469909191E0
3.930029010E1	6.895300746E-1	5.171475887E0	7.000645638E0
4.030029010E1	7.661445439E-2	2.566584110E0	3.974374771E0
4.130029010E1	-3.754108191E0	3.639186621E0	7.000645638E0
4.230029010E1	-1.762132406E0	4.252102375E0	5.401319027E0
4.330029010E1	-1.915361404E0	3.639186621E0	8.427590370E0
4.430029010E1	8.427590132E-1	6.090848923E0	7.153874874E0
4.530029010E1	-8.427590132E-1	5.018246651E0	7.795520782E0
4.630029010E1	-1.149216771E0	3.639186621E0	8.111555099E0
4.730029010E1	-6.895300746E-1	5.631162167E0	9.069235802E0
4.830029010E1	-7.661445439E-2	5.784391403E0	8.274360657E0
4.930029010E1	-7.661445439E-2	5.477933407E0	8.111555099E0
5.030029010E1	-5.363011956E-1	3.179499865E0	9.222464561E0
5.130029010E1	-1.762132406E0	4.405331135E0	7.795520782E0
5.230029010E1	3.830722570E-1	5.324704647E0	8.274360657E0
5.330029010E1	-3.830722570E-1	5.784391403E0	7.153874874E0
5.430029010E1	-1.302445769E0	4.558559895E0	1.463336086E1
5.530029010E1	-3.830722570E-1	5.631162167E0	9.538499832E0
5.630029010E1	-6.895300746E-1	3.945644379E0	9.701305389E0
5.730029010E1	-8.427590132E-1	3.026270866E0	1.018014526E1
5.830029010E1	-3.830722570E-1	3.639186621E0	7.153874874E0
5.930029010E1	-3.141192675E0	-2.030282974E0	9.701305389E0
