"Time (s)"	"Illuminance (lx)"
9.392525710E-1	1.500000000E1
1.939252571E0	2.600000000E1
2.939252571E0	6.200000000E1
4.053189555E0	6.000000000E0
5.053189555E0	6.000000000E0
6.053189555E0	6.000000000E0
7.053189555E0	4.000000000E0
8.053189555E0	6.000000000E0
9.053189555E0	8.000000000E0
1.024171933E1	8.000000000E0
1.124171933E1	4.000000000E0
1.224171933E1	4.000000000E0
1.320527760E1	4.997000000E3
1.420527760E1	3.212000000E3
1.520527760E1	5.280000000E3
1.620527760E1	6.676000000E3
1.720527760E1	7.292000000E3
1.820527760E1	5.315000000E3
1.920527760E1	5.834000000E3
2.020527760E1	3.516000000E3
2.120527760E1	4.032000000E3
2.220527760E1	2.121000000E3
2.320527760E1	2.800000000E1
2.420527760E1	3.000000000E0
2.520527760E1	2.000000000E0
2.620527760E1	3.000000000E0
2.720527760E1	3.000000000E0
2.820527760E1	3.000000000E0
2.920527760E1	2.000000000E0
3.020527760E1	3.000000000E0
3.120527760E1	1.700000000E1
3.220527760E1	4.000000000E0
3.320527760E1	2.680000000E2
3.420527760E1	8.414000000E3
3.520527760E1	7.144000000E3
3.620527760E1	5.783000000E3
3.720527760E1	7.861000000E3
3.820527760E1	6.861000000E3
3.920527760E1	5.972000000E3
4.020527760E1	2.434000000E3
4.120527760E1	4.221000000E3
4.220527760E1	5.915000000E3
4.320527760E1	7.437000000E3
4.420527760E1	1.032800000E4
4.520527760E1	8.351000000E3
4.620527760E1	8.081000000E3
4.720527760E1	7.138000000E3
4.820527760E1	5.994000000E3
4.920527760E1	6.883000000E3
5.020527760E1	7.251000000E3
5.120527760E1	8.002000000E3
5.220527760E1	7.279000000E3
5.320527760E1	6.748000000E3
5.420527760E1	7.644000000E3
5.520527760E1	7.484000000E3
5.620527760E1	8.468000000E3
5.720527760E1	8.241000000E3
5.820527760E1	7.521000000E3
5.920527760E1	7.078000000E3
6.020527760E1	6.790000000E3
6.120527760E1	6.440000000E3
6.220527760E1	7.248000000E3
6.320527760E1	7.980000000E3
6.420527760E1	9.082000000E3
6.520527760E1	8.304000000E3
6.620527760E1	7.735000000E3
6.720527760E1	7.793000000E3
6.820527760E1	8.407000000E3
6.920527760E1	8.299000000E3
7.020527760E1	7.852000000E3
7.120527760E1	8.086000000E3
7.220527760E1	8.236000000E3
7.320527760E1	8.141000000E3
7.420527760E1	7.980000000E3
7.520527760E1	7.965000000E3
7.620527760E1	8.095000000E3
7.720527760E1	8.251000000E3
7.820527760E1	8.238000000E3
7.920527760E1	7.938000000E3
8.020527760E1	7.771000000E3
8.120527760E1	6.352000000E3
8.220527760E1	5.153000000E3
8.320527760E1	8.769000000E3
8.420527760E1	9.829000000E3
8.520527760E1	8.342000000E3
8.620527760E1	8.090000000E3
8.720527760E1	6.582000000E3
8.820527760E1	7.251000000E3
8.920527760E1	8.427000000E3
9.020527760E1	7.449000000E3
9.120527760E1	6.814000000E3
9.220527760E1	7.308000000E3
9.320527760E1	7.622000000E3
9.420527760E1	7.462000000E3
9.520527760E1	6.720000000E3
9.620527760E1	5.777000000E3
9.720527760E1	6.546000000E3
9.820527760E1	7.842000000E3
9.920527760E1	7.226000000E3
1.002052776E2	7.053000000E3
1.012052776E2	6.792000000E3
1.022052776E2	6.648000000E3
1.032052776E2	6.739000000E3
1.042052776E2	7.085000000E3
1.052052776E2	7.151000000E3
1.062052776E2	6.773000000E3
1.072052776E2	5.902000000E3
1.082052776E2	4.858000000E3
1.092052776E2	4.036000000E3
1.102052776E2	3.778000000E3
1.112052776E2	6.610000000E3
1.122052776E2	6.327000000E3
1.132052776E2	6.629000000E3
1.142052776E2	6.569000000E3
1.152052776E2	6.318000000E3
1.162052776E2	6.575000000E3
1.172052776E2	5.990000000E3
1.182052776E2	7.292000000E3
1.192052776E2	7.081000000E3
1.202052776E2	7.342000000E3
1.212052776E2	8.006000000E3
1.222052776E2	8.147000000E3
1.232052776E2	8.807000000E3
1.242052776E2	7.757000000E3
1.252052776E2	7.165000000E3
1.262052776E2	7.936000000E3
1.272052776E2	7.754000000E3
1.282052776E2	8.191000000E3
1.292052776E2	8.122000000E3
1.302052776E2	8.518000000E3
1.312052776E2	7.534000000E3
1.322052776E2	7.874000000E3
1.332052776E2	8.056000000E3
1.342052776E2	7.958000000E3
1.352052776E2	9.624000000E3
1.362052776E2	9.172000000E3
1.372052776E2	7.081000000E3
1.382052776E2	7.660000000E3
1.392052776E2	7.220000000E3
1.402052776E2	7.012000000E3
1.412052776E2	7.019000000E3
1.422052776E2	7.094000000E3
1.432052776E2	7.097000000E3
1.442052776E2	7.644000000E3
1.452052776E2	8.756000000E3
1.462052776E2	8.355000000E3
1.472052776E2	1.219200000E4
1.482052776E2	7.760000000E3
1.492052776E2	4.523000000E3
1.502052776E2	2.756000000E3
1.512052776E2	5.457000000E3
1.522052776E2	5.611000000E3
1.532052776E2	6.028000000E3
