"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.024252571E0	-4.212999940E-1	-4.377000034E-1	-9.017999768E-1
2.024252571E0	8.209999651E-2	-3.956999779E-1	1.086799979E0
3.024252571E0	4.156000018E-1	-7.419999689E-2	1.515000015E-1
4.157622916E0	5.430999994E-1	-4.160999954E-1	1.636699915E0
5.157622916E0	5.389999747E-1	3.489999771E-1	3.792999983E-1
6.157622916E0	1.036599994E0	9.979999661E-1	3.506000042E-1
7.157622916E0	1.964000016E-1	1.709999889E-2	3.267999887E-1
8.157622916E0	-1.125599980E0	6.392999887E-1	-2.405999899E-1
9.157622916E0	9.549999982E-2	-1.141499996E0	6.003000140E-1
1.034674277E1	-4.719999805E-2	2.678000033E-1	2.160999924E-1
1.134674277E1	-1.166999936E-1	-8.799999952E-2	8.946999907E-1
1.331026823E1	-2.924199820E0	5.181999803E-1	6.246199608E0
1.431026823E1	1.517599940E0	7.089999914E-1	-2.498999834E0
1.531026823E1	6.577000022E-1	-3.221999884E0	1.361999959E-1
1.631026823E1	7.691999674E-1	1.799099922E0	8.001999855E-1
1.731026823E1	-2.556399822E0	-6.399999559E-2	3.075000048E-1
1.831026823E1	3.360999823E-1	9.065999985E-1	-1.562199950E0
1.931026823E1	8.421999812E-1	8.693000078E-1	-1.367599964E0
2.031026823E1	9.195999503E-1	-5.882999897E-1	-9.257999659E-1
2.131026823E1	5.752299786E0	-3.031599998E0	5.625299931E0
2.231026823E1	-6.189799786E0	-7.188999653E-1	-5.608799934E0
2.331026823E1	-9.230999947E-1	-7.430999875E-1	-5.322499752E0
2.431026823E1	-6.667999625E-1	7.868999839E-1	-1.032999977E-1
2.531026823E1	8.840999603E-1	1.334499955E0	1.045599937E0
2.631026823E1	-5.941999555E-1	1.186699986E0	-1.289099932E0
2.731026823E1	5.069999695E-1	-5.690000057E-1	1.232299924E0
2.831026823E1	-4.408999979E-1	-9.289000034E-1	2.581999898E-1
2.931026823E1	-8.789999485E-1	2.671000063E-1	-4.086000025E-1
3.031026823E1	6.200999618E-1	9.429999441E-2	-5.504999757E-1
3.131026823E1	-6.531999707E-1	-2.201000005E-1	-1.165899992E0
3.231026823E1	2.769699812E0	1.048300028E0	1.648499966E0
3.331026823E1	2.146899939E0	3.518999815E-1	2.154799938E0
3.431026823E1	-1.154099941E0	2.342000008E-1	-1.406599998E0
