"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
6.169182020E-1	5.235596900E1	4.902777800E0	2.423401796E0	0.000000000E0	0.000000000E0	1.516199970E1	1.656062603E0
3.741855186E0	5.235598690E1	4.902787500E0	2.323430414E0	0.000000000E0	0.000000000E0	1.698800087E1	1.140537500E0
9.971383397E0	5.235597520E1	4.902791600E0	2.223417758E0	0.000000000E0	0.000000000E0	1.700600052E1	1.029286027E0
1.289166928E1	5.235578810E1	4.901612000E0	2.022472269E0	0.000000000E0	0.000000000E0	1.220800018E1	1.000000000E0
2.448648385E1	5.235525291E1	4.901144073E0	1.915489293E1	2.762973309E0	0.000000000E0	9.475793457E1	0.000000000E0
2.547188281E1	5.235516924E1	4.901137961E0	1.764789900E1	1.821891546E0	0.000000000E0	1.900000000E1	0.000000000E0
2.648170677E1	5.235556907E1	4.901114588E0	1.736788748E1	8.996047378E-1	0.000000000E0	1.900000000E1	0.000000000E0
2.751815364E1	5.235557046E1	4.901114341E0	1.384083404E1	7.619569302E-1	0.000000000E0	1.900000000E1	0.000000000E0
2.851778072E1	5.235548379E1	4.901118717E0	1.154940259E1	0.000000000E0	0.000000000E0	4.900000095E0	0.000000000E0
2.952057343E1	5.235548586E1	4.901124064E0	1.425720376E1	0.000000000E0	0.000000000E0	4.900000095E0	0.000000000E0
3.054699114E1	5.235549436E1	4.901127944E0	1.578004833E1	0.000000000E0	0.000000000E0	4.900000095E0	0.000000000E0
3.151468020E1	5.235549436E1	4.901127944E0	1.578004833E1	0.000000000E0	0.000000000E0	4.900000095E0	0.000000000E0
3.250991197E1	5.235549436E1	4.901127944E0	1.578004833E1	0.000000000E0	0.000000000E0	4.900000095E0	0.000000000E0
3.354627083E1	5.235549706E1	4.901120143E0	1.537863729E1	1.137634158E0	2.813346558E2	2.297773361E1	0.000000000E0
3.452165416E1	5.235549388E1	4.901101404E0	1.532266698E1	1.483771205E0	2.416577911E2	2.357069397E1	0.000000000E0
3.551503072E1	5.235548229E1	4.901074869E0	1.448408845E1	1.851560950E0	2.327429199E2	2.337868309E1	0.000000000E0
3.651611979E1	5.235547038E1	4.901047275E0	1.386395457E1	2.192758799E0	2.323622131E2	1.747509193E1	0.000000000E0
3.751377291E1	5.235546445E1	4.901016734E0	1.451464233E1	2.400081635E0	2.429988708E2	1.848526764E1	0.000000000E0
3.851237083E1	5.235546105E1	4.900980613E0	1.495186182E1	2.720987082E0	2.434031830E2	1.857772064E1	0.000000000E0
3.951484478E1	5.235545103E1	4.900932541E0	1.439154053E1	2.877561569E0	2.370975342E2	1.654292297E1	0.000000000E0
4.052152083E1	5.235544991E1	4.900889526E0	1.396271562E1	2.822975636E0	2.370268250E2	1.527723980E1	0.000000000E0
4.151160260E1	5.235544461E1	4.900841777E0	1.319350166E1	2.864277840E0	2.405477753E2	1.499644852E1	0.000000000E0
4.251225364E1	5.235543548E1	4.900801811E0	1.240103703E1	2.488325357E0	2.303089447E2	1.483834171E1	0.000000000E0
4.351244635E1	5.235542686E1	4.900757413E0	1.217315591E1	2.386086226E0	2.341865845E2	1.439066601E1	0.000000000E0
4.452838645E1	5.235541647E1	4.900711312E0	1.246762472E1	2.175553083E0	2.332170410E2	1.289569283E1	0.000000000E0
4.551218541E1	5.235540307E1	4.900689390E0	1.298266074E1	2.083761692E0	2.000063782E2	1.539176273E1	0.000000000E0
4.655035885E1	5.235538088E1	4.900671277E0	1.385821317E1	3.324319363E0	1.847945099E2	1.548284626E1	0.000000000E0
4.754199895E1	5.235535910E1	4.900667807E0	1.470361725E1	3.809929132E0	1.707220306E2	1.499753952E1	0.000000000E0
4.855654218E1	5.235533576E1	4.900681107E0	1.560553864E1	4.310035706E0	1.601225128E2	1.544547749E1	0.000000000E0
4.954213124E1	5.235531470E1	4.900712256E0	1.625643469E1	4.149923801E0	1.479580688E2	1.622794342E1	0.000000000E0
5.051261145E1	5.235529643E1	4.900755068E0	1.678717577E1	4.124780178E0	1.362139282E2	1.586967182E1	0.000000000E0
5.154394062E1	5.235527625E1	4.900795244E0	1.760862586E1	4.027519703E0	1.424801178E2	1.597712326E1	0.000000000E0
5.251967395E1	5.235525111E1	4.900826998E0	1.826031872E1	4.305747032E0	1.518988495E2	1.638635063E1	0.000000000E0
5.352127760E1	5.235522599E1	4.900857787E0	1.875622667E1	4.175682068E0	1.521842499E2	1.665494537E1	0.000000000E0
5.454815364E1	5.235520604E1	4.900882848E0	1.957212337E1	4.022348881E0	1.535759583E2	1.647528839E1	0.000000000E0
5.551922082E1	5.235518881E1	4.900905304E0	1.988416821E1	3.609668016E0	1.514986420E2	1.662929344E1	0.000000000E0
5.651191249E1	5.235516851E1	4.900932823E0	2.052557542E1	3.462312698E0	1.476166382E2	1.644285583E1	0.000000000E0
5.754373645E1	5.235515067E1	4.900963677E0	2.077036219E1	3.132739067E0	1.415506592E2	1.643626595E1	0.000000000E0
5.854678124E1	5.235513563E1	4.900988033E0	2.143307588E1	2.783323288E0	1.431231079E2	1.658923340E1	0.000000000E0
5.954610051E1	5.235512747E1	4.901011291E0	2.152236701E1	2.459392071E0	1.443491821E2	1.649882317E1	0.000000000E0
6.051015520E1	5.235510339E1	4.901028179E0	2.137228646E1	2.306249619E0	1.504845276E2	1.707402420E1	0.000000000E0
6.151969947E1	5.235507149E1	4.901035845E0	2.131523439E1	2.253781796E0	1.594234161E2	1.683470345E1	0.000000000E0
6.251892082E1	5.235506296E1	4.901054461E0	2.077369756E1	9.503747225E-1	1.702270508E2	1.548166847E1	0.000000000E0
6.353164582E1	5.235505112E1	4.901061287E0	2.030136786E1	8.016624451E-1	1.713787537E2	1.542792225E1	0.000000000E0
6.451315572E1	5.235505112E1	4.901061287E0	2.030136786E1	0.000000000E0	1.713787537E2	4.900000095E0	0.000000000E0
6.551922395E1	5.235504170E1	4.901066975E0	2.030940192E1	8.211624622E-1	1.897435455E2	1.381445885E1	0.000000000E0
6.651813957E1	5.235504170E1	4.901066975E0	2.030940192E1	0.000000000E0	1.897435455E2	4.900000095E0	0.000000000E0
6.750871666E1	5.235503383E1	4.901082015E0	2.117209540E1	6.242797971E-1	2.106265411E2	1.482942009E1	0.000000000E0
6.854634322E1	5.235503383E1	4.901082015E0	2.117209540E1	0.000000000E0	2.106265411E2	4.900000095E0	0.000000000E0
6.951463436E1	5.235503012E1	4.901100766E0	2.135951655E1	0.000000000E0	2.853132629E2	4.900000095E0	0.000000000E0
7.051320416E1	5.235503012E1	4.901100766E0	2.135951655E1	0.000000000E0	2.853132629E2	4.900000095E0	0.000000000E0
