"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1.024252571E0	-1.875000000E0	-2.843750000E1	-4.937500000E0
2.024252571E0	-1.000000000E0	-2.256250000E1	-1.125000000E1
3.024252571E0	-5.250000000E0	-1.625000000E1	-1.700000000E1
4.162318229E0	-1.756250000E1	-2.762500000E1	-3.875000000E1
5.162318229E0	-1.268750000E1	-2.681250000E1	-4.068750000E1
6.162318229E0	-2.062500000E0	-8.750000000E0	-4.712500000E1
7.162318229E0	1.231250000E1	-1.625000000E1	-4.375000000E1
8.162318229E0	2.556250000E1	-2.281250000E1	-3.618750000E1
9.162318229E0	2.618750000E1	-2.275000000E1	-3.562500000E1
1.034674277E1	-1.087500000E1	-1.306250000E1	-4.400000000E1
1.134674277E1	2.062500000E0	-1.156250000E1	-4.600000000E1
1.331527448E1	-5.625000000E-1	-1.962500000E1	-4.337500000E1
1.431527448E1	2.212500000E1	-3.250000000E1	-3.256250000E1
1.531527448E1	3.225000000E1	7.062500000E0	-3.093750000E1
1.631527448E1	1.706250000E1	-4.500000000E0	-4.118750000E1
1.731527448E1	3.537500000E1	-3.356250000E1	-3.625000000E1
1.831527448E1	3.243750000E1	-2.550000000E1	-2.568750000E1
1.931527448E1	2.881250000E1	-3.868750000E1	-1.812500000E1
2.031527448E1	2.475000000E1	-3.931250000E1	-1.375000000E1
2.131527448E1	4.350000000E1	-1.737500000E1	-6.250000000E0
2.231527448E1	2.112500000E1	-2.937500000E1	-3.350000000E1
2.331527448E1	2.600000000E1	1.437500000E0	3.956250000E1
2.431527448E1	3.181250000E1	-9.875000000E0	3.843750000E1
2.531527448E1	3.075000000E1	-5.000000000E0	4.287500000E1
2.631527448E1	2.275000000E1	-7.375000000E0	4.787500000E1
2.731527448E1	1.981250000E1	-1.331250000E1	4.843750000E1
2.831527448E1	1.018750000E1	-3.406250000E1	4.525000000E1
2.931527448E1	1.975000000E1	-2.925000000E1	4.437500000E1
3.031527448E1	2.937500000E1	-1.937500000E1	3.775000000E1
3.131527448E1	2.825000000E1	-1.725000000E1	4.018750000E1
3.231527448E1	2.875000000E1	-1.412500000E1	3.831250000E1
3.331527448E1	3.687500000E1	-2.575000000E1	1.887500000E1
3.431527448E1	2.393750000E1	-3.500000000E1	-3.062500000E1
3.531527448E1	1.925000000E1	-2.787500000E1	-4.075000000E1
3.631527448E1	3.000000000E1	-1.700000000E1	-4.031250000E1
3.731527448E1	2.406250000E1	-4.025000000E1	-2.437500000E1
3.831527448E1	2.206250000E1	-4.225000000E1	-2.156250000E1
3.931527448E1	1.600000000E1	-3.906250000E1	-2.875000000E1
4.031527448E1	2.637500000E1	-3.618750000E1	-4.706250000E1
4.131527448E1	2.312500000E1	-2.850000000E1	-4.293750000E1
4.231527448E1	2.631250000E1	-3.568750000E1	-2.968750000E1
4.331527448E1	2.168750000E1	-2.631250000E1	-3.293750000E1
4.431527448E1	6.062500000E0	-3.812500000E1	-3.393750000E1
4.531527448E1	-6.250000000E0	-3.906250000E1	-3.262500000E1
4.631527448E1	-8.125000000E-1	-3.262500000E1	-3.768750000E1
4.731527448E1	-7.312500000E0	-3.606250000E1	-3.006250000E1
4.831527448E1	-4.937500000E0	-3.806250000E1	-2.675000000E1
4.931527448E1	-5.562500000E0	-3.562500000E1	-2.550000000E1
5.031527448E1	1.000000000E0	-2.981250000E1	-3.293750000E1
5.131527448E1	-2.062500000E0	-3.325000000E1	-3.287500000E1
5.231527448E1	-8.375000000E0	-3.656250000E1	-2.787500000E1
5.331527448E1	-2.937500000E0	-3.437500000E1	-3.012500000E1
5.431527448E1	-4.375000000E0	-3.593750000E1	-2.825000000E1
5.531527448E1	0.000000000E0	-3.700000000E1	-3.218750000E1
5.631527448E1	-2.625000000E0	-3.543750000E1	-3.381250000E1
5.731527448E1	-6.250000000E0	-3.450000000E1	-3.518750000E1
5.831527448E1	-5.875000000E0	-3.450000000E1	-3.481250000E1
5.931527448E1	2.125000000E1	-1.043750000E1	-4.281250000E1
6.031527448E1	2.206250000E1	-8.375000000E0	-4.381250000E1
6.131527448E1	6.437500000E0	-3.806250000E1	-3.000000000E1
6.231527448E1	1.075000000E1	-3.256250000E1	-3.362500000E1
6.331527448E1	1.268750000E1	-3.262500000E1	-3.356250000E1
6.431527448E1	9.750000000E0	-3.312500000E1	-3.237500000E1
6.531527448E1	1.875000000E-1	-3.631250000E1	-2.975000000E1
6.631527448E1	2.000000000E0	-4.025000000E1	-2.568750000E1
6.731527448E1	1.312500000E0	-3.943750000E1	-2.593750000E1
6.831527448E1	2.375000000E0	-3.756250000E1	-2.912500000E1
6.931527448E1	-1.875000000E0	-3.875000000E1	-2.693750000E1
7.031527448E1	-2.187500000E0	-4.025000000E1	-2.512500000E1
7.131527448E1	-2.500000000E-1	-3.950000000E1	-2.731250000E1
7.231527448E1	-1.562500000E0	-3.906250000E1	-2.756250000E1
7.331527448E1	-1.375000000E0	-3.912500000E1	-2.718750000E1
7.431527448E1	-4.375000000E-1	-3.943750000E1	-2.668750000E1
7.531527448E1	-8.125000000E-1	-3.900000000E1	-2.737500000E1
7.631527448E1	-8.125000000E-1	-3.887500000E1	-2.862500000E1
7.731527448E1	7.875000000E0	-1.881250000E1	-4.693750000E1
7.831527448E1	4.437500000E0	-3.368750000E1	-3.843750000E1
7.931527448E1	3.125000000E0	-3.562500000E1	-3.825000000E1
