"Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)",Time (s)
"0,""-2,298433632E-1"",""4,098873138E0"",""7,948749542E0""",0
"1,""2,298433632E-1"",""1,953668594E0"",""1,193270111E1""",1
"2,""3,830722570E-1"",""4,213795066E-1"",""9,538499832E0""",2
"3,""1,149216771E0"",""3,639186621E0"",""1,034295177E1""",3
"4,""-7,661445439E-2"",""3,945644379E0"",""9,069235802E0""",4
"5,""-8,427590132E-1"",""3,792415380E0"",""9,385271072E0""",5
"6,""3,830722570E-1"",""4,252102375E0"",""8,743624687E0""",6
"7,""-2,068590164E0"",""4,098873138E0"",""9,069235802E0""",7
"8,""-3,141192675E0"",""4,558559895E0"",""8,111555099E0""",8
"9,""-5,363011956E-1"",""3,332728863E0"",""9,069235802E0""",9
"10,""7,661445439E-2"",""5,018246651E0"",""9,069235802E0""",10
"11,""1,149216771E0"",""7,278373241E-1"",""1,479616642E1""",11
"12,""-6,895300746E-1"",""1,647210717E0"",""6,837840080E0""",12
"13,""-3,907337189E0"",""-4,635174274E0"",""8,427590370E0""",13
"14,""-2,528276920E0"",""5,746083856E-1"",""9,701305389E0""",14
"15,""-2,375048161E0"",""4,213795066E-1"",""9,864110947E0""",15
"16,""-3,141192675E0"",""2,106897593E0"",""7,316680431E0""",16
"17,""-4,060565948E0"",""3,792415380E0"",""6,358999729E0""",17
"18,""-4,520252705E0"",""3,179499865E0"",""6,042964935E0""",18
"19,""-2,221819162E0"",""-5,248090267E0"",""1,049618053E1""",19
"20,""-2,987963676E0"",""-1,076433086E1"",""-4,932055473E0""",20
"21,""-9,270348549E0"",""-4,481945515E0"",""-7,948749542E0""",21
"22,""-9,576807022E0"",""-4,979939461E-1"",""-3,332728863E0""",22
"23,""-7,738059998E0"",""-1,723825216E0"",""-1,905784607E0""",23
"24,""-8,963891029E0"",""-3,830722719E-2"",""-6,042964935E0""",24
"25,""-7,125144482E0"",""7,278373241E-1"",""-4,453215122E0""",25
"26,""-5,899312973E0"",""4,865017891E0"",""-5,401319027E0""",26
"27,""-7,891288757E0"",""3,485957623E0"",""-6,042964935E0""",27
"28,""-9,270348549E0"",""1,034295082E0"",""-4,769249916E0""",28
"29,""-9,117119789E0"",""2,681505978E-1"",""-5,564124584E0""",29
"30,""-5,133168221E0"",""2,681505978E-1"",""-2,221819162E0""",30
"31,""-6,358999729E0"",""-1,110909581E0"",""6,358999729E0""",31
"32,""-3,830722570E-1"",""5,477933407E0"",""7,000645638E0""",32
"33,""5,363011956E-1"",""1,800439715E0"",""1,049618053E1""",33
"34,""-2,068590164E0"",""1,493981838E0"",""8,743624687E0""",34
"35,""-1,302445769E0"",""4,711789131E0"",""7,948749542E0""",35
"36,""-2,298433632E-1"",""7,316680431E0"",""7,469909191E0""",36
"37,""6,895300746E-1"",""5,171475887E0"",""7,000645638E0""",37
"38,""7,661445439E-2"",""2,566584110E0"",""3,974374771E0""",38
"39,""-3,754108191E0"",""3,639186621E0"",""7,000645638E0""",39
"40,""-1,762132406E0"",""4,252102375E0"",""5,401319027E0""",40
"41,""-1,915361404E0"",""3,639186621E0"",""8,427590370E0""",41
"42,""8,427590132E-1"",""6,090848923E0"",""7,153874874E0""",42
"43,""-8,427590132E-1"",""5,018246651E0"",""7,795520782E0""",43
"44,""-1,149216771E0"",""3,639186621E0"",""8,111555099E0""",44
"45,""-6,895300746E-1"",""5,631162167E0"",""9,069235802E0""",45
"46,""-7,661445439E-2"",""5,784391403E0"",""8,274360657E0""",46
"47,""-7,661445439E-2"",""5,477933407E0"",""8,111555099E0""",47
"48,""-5,363011956E-1"",""3,179499865E0"",""9,222464561E0""",48
"49,""-1,762132406E0"",""4,405331135E0"",""7,795520782E0""",49
"50,""3,830722570E-1"",""5,324704647E0"",""8,274360657E0""",50
"51,""-3,830722570E-1"",""5,784391403E0"",""7,153874874E0""",51
"52,""-1,302445769E0"",""4,558559895E0"",""1,463336086E1""",52
"53,""-3,830722570E-1"",""5,631162167E0"",""9,538499832E0""",53
"54,""-6,895300746E-1"",""3,945644379E0"",""9,701305389E0""",54
"55,""-8,427590132E-1"",""3,026270866E0"",""1,018014526E1""",55
"56,""-3,830722570E-1"",""3,639186621E0"",""7,153874874E0""",56
"57,""-3,141192675E0"",""-2,030282974E0"",""9,701305389E0""",57
"58,""-4,213795185E0"",""-1,723825216E0"",""7,948749542E0""",58
"59,""-1,302445769E0"",""3,792415380E0"",""7,153874874E0""",59
"60,""-2,221819162E0"",""3,639186621E0"",""8,427590370E0""",60
"61,""-2,681505919E0"",""3,945644379E0"",""8,743624687E0""",61
"62,""-1,608903527E0"",""3,945644379E0"",""8,274360657E0""",62
"63,""-8,427590132E-1"",""3,945644379E0"",""7,795520782E0""",63
"64,""-7,661445439E-2"",""5,631162167E0"",""8,274360657E0""",64
"65,""-7,661445439E-2"",""5,477933407E0"",""7,948749542E0""",65
"66,""-6,895300746E-1"",""5,018246651E0"",""8,274360657E0""",66
"67,""3,830722570E-1"",""5,171475887E0"",""8,906430244E0""",67
"68,""2,298433632E-1"",""5,631162167E0"",""7,948749542E0""",68
"69,""-6,895300746E-1"",""5,171475887E0"",""7,795520782E0""",69
"70,""3,830722570E-1"",""5,324704647E0"",""8,274360657E0""",70
"71,""-7,661445439E-2"",""5,171475887E0"",""8,427590370E0""",71
"72,""-7,661445439E-2"",""5,477933407E0"",""8,111555099E0""",72
"73,""7,661445439E-2"",""5,171475887E0"",""8,111555099E0""",73
"74,""-7,661445439E-2"",""5,018246651E0"",""8,427590370E0""",74
"75,""-3,447650433E0"",""2,260126352E0"",""9,069235802E0""",75
"76,""1,149216771E0"",""1,953668594E0"",""6,837840080E0""",76
"77,""-1,915361404E0"",""3,945644379E0"",""9,385271072E0""",77
"78,""9,959878922E-1"",""3,485957623E0"",""9,701305389E0""",78
"79,""5,363011956E-1"",""5,477933407E0"",""7,469909191E0""",79
"80,""3,830722570E-1"",""4,865017891E0"",""8,111555099E0""",80
"81,""-5,363011956E-1"",""5,171475887E0"",""1,081221485E1""",81
"82,""-2,987963676E0"",""2,873042107E0"",""1,113782597E1""",82
"83,""-1,455674648E0"",""2,873042107E0"",""9,864110947E0""",83
"84,""-6,895300746E-1"",""4,558559895E0"",""9,069235802E0""",84
"85,""-7,661445439E-2"",""4,558559895E0"",""8,111555099E0""",85
"86,""3,830722570E-1"",""5,018246651E0"",""7,316680431E0""",86
"87,""-7,661445439E-2"",""5,171475887E0"",""7,469909191E0""",87
"88,""5,363011956E-1"",""6,090848923E0"",""5,726930618E0""",88
"89,""-2,221819162E0"",""3,332728863E0"",""1,049618053E1""",89
"90,""-3,294421434E0"",""2,566584110E0"",""1,081221485E1""",90
"91,""-2,221819162E0"",""2,566584110E0"",""7,632715225E0""",91
"92,""-1,302445769E0"",""4,711789131E0"",""7,948749542E0""",92
"93,""-1,149216771E0"",""5,324704647E0"",""6,837840080E0""",93
"94,""2,298433632E-1"",""3,792415380E0"",""8,906430244E0""",94
"95,""-2,528276920E0"",""3,026270866E0"",""9,538499832E0""",95
"96,""-9,959878922E-1"",""1,800439715E0"",""1,001733971E1""",96
"97,""-2,298433632E-1"",""1,493981838E0"",""9,069235802E0""",97
"98,""-9,959878922E-1"",""2,719813108E0"",""1,081221485E1""",98
"99,""-2,375048161E0"",""3,485957623E0"",""8,906430244E0""",99
"100,""-7,661445439E-2"",""4,405331135E0"",""7,948749542E0""",100
"101,""-2,298433632E-1"",""4,865017891E0"",""8,274360657E0""",101
"102,""5,363011956E-1"",""3,792415380E0"",""9,385271072E0""",102
"103,""-7,661445439E-2"",""4,098873138E0"",""7,795520782E0""",103
"104,""3,830722570E-1"",""4,558559895E0"",""8,743624687E0""",104
"105,""-5,363011956E-1"",""3,945644379E0"",""8,743624687E0""",105
"106,""-1,915361404E0"",""3,485957623E0"",""9,701305389E0""",106
"107,""-2,298433632E-1"",""4,405331135E0"",""8,590395927E0""",107
"108,""-9,959878922E-1"",""4,098873138E0"",""8,743624687E0""",108
"109,""-7,661445439E-2"",""4,098873138E0"",""8,427590370E0""",109
"110,""1,455674648E0"",""3,792415380E0"",""9,069235802E0""",110
"111,""-2,068590164E0"",""4,405331135E0"",""9,385271072E0""",111
"112,""-2,298433632E-1"",""5,631162167E0"",""8,111555099E0""",112
"113,""5,363011956E-1"",""5,018246651E0"",""8,111555099E0""",113
"114,""9,959878922E-1"",""2,106897593E0"",""8,427590370E0""",114
"115,""-6,895300746E-1"",""3,179499865E0"",""9,385271072E0""",115
"116,""-1,149216771E0"",""3,179499865E0"",""8,111555099E0""",116
"117,""-3,447650433E0"",""2,873042107E0"",""1,034295177E1""",117
"118,""-1,455674648E0"",""3,945644379E0"",""8,743624687E0""",118
"119,""-7,661445439E-2"",""2,413355350E0"",""8,274360657E0""",119
"120,""-7,661445439E-2"",""2,873042107E0"",""9,538499832E0""",120
"121,""-3,830722570E-1"",""3,792415380E0"",""8,274360657E0""",121
"122,""-1,608903527E0"",""4,252102375E0"",""9,538499832E0""",122
"123,""-8,427590132E-1"",""3,945644379E0"",""6,675034523E0""",123
"124,""7,661445439E-2"",""3,179499865E0"",""8,743624687E0""",124
"125,""5,363011956E-1"",""3,026270866E0"",""1,001733971E1""",125
"126,""3,830722570E-1"",""3,639186621E0"",""9,864110947E0""",126
"127,""-1,608903527E0"",""1,800439715E0"",""1,097502041E1""",127
"128,""-8,427590132E-1"",""1,800439715E0"",""7,795520782E0""",128
"129,""-5,363011956E-1"",""2,566584110E0"",""7,795520782E0""",129
"130,""-2,298433632E-1"",""1,800439715E0"",""1,049618053E1""",130
"131,""-6,895300746E-1"",""2,106897593E0"",""8,743624687E0""",131
"132,""-1,608903527E0"",""1,340752959E0"",""9,222464561E0""",132
"133,""-2,528276920E0"",""1,340752959E0"",""1,081221485E1""",133
"134,""-1,455674648E0"",""2,873042107E0"",""1,081221485E1""",134
"135,""-9,959878922E-1"",""3,026270866E0"",""7,153874874E0""",135
"136,""7,661445439E-2"",""2,106897593E0"",""1,001733971E1""",136
"137,""-1,608903527E0"",""2,106897593E0"",""1,097502041E1""",137
"138,""-2,068590164E0"",""2,566584110E0"",""9,538499832E0""",138
"139,""-1,762132406E0"",""2,719813108E0"",""9,538499832E0""",139
"140,""-3,830722570E-1"",""1,953668594E0"",""8,906430244E0""",140
"141,""2,298433632E-1"",""2,413355350E0"",""9,701305389E0""",141
"142,""-8,427590132E-1"",""2,413355350E0"",""7,469909191E0""",142
"143,""-1,762132406E0"",""4,405331135E0"",""8,906430244E0""",143
"144,""1,608903527E0"",""2,719813108E0"",""1,001733971E1""",144
"145,""2,298433632E-1"",""2,413355350E0"",""9,385271072E0""",145
"146,""-7,661445439E-2"",""2,106897593E0"",""1,097502041E1""",146
"147,""-1,149216771E0"",""2,719813108E0"",""9,222464561E0""",147
"148,""-8,427590132E-1"",""3,945644379E0"",""7,795520782E0""",148
"149,""2,298433632E-1"",""2,413355350E0"",""8,743624687E0""",149
"150,""5,363011956E-1"",""2,873042107E0"",""9,701305389E0""",150
"151,""-7,661445439E-2"",""3,485957623E0"",""1,001733971E1""",151
"152,""-1,762132406E0"",""3,179499865E0"",""1,001733971E1""",152
"153,""-2,298433632E-1"",""3,332728863E0"",""8,906430244E0""",153
"154,""1,149216771E0"",""3,179499865E0"",""9,385271072E0""",154
"155,""-1,302445769E0"",""2,260126352E0"",""8,743624687E0""",155
"156,""-2,298433632E-1"",""2,719813108E0"",""8,427590370E0""",156
"157,""5,363011956E-1"",""1,647210717E0"",""8,906430244E0""",157
"158,""-9,959878922E-1"",""2,566584110E0"",""1,018014526E1""",158
"159,""-9,959878922E-1"",""2,260126352E0"",""1,034295177E1""",159
"160,""2,298433632E-1"",""1,953668594E0"",""9,069235802E0""",160
"161,""-3,830722570E-1"",""2,260126352E0"",""9,222464561E0""",161
"162,""-2,068590164E0"",""1,800439715E0"",""8,743624687E0""",162
"163,""7,661445439E-2"",""1,647210717E0"",""1,081221485E1""",163
"164,""9,959878922E-1"",""1,953668594E0"",""1,018014526E1""",164
"165,""-1,608903527E0"",""2,106897593E0"",""9,538499832E0""",165
"166,""-1,302445769E0"",""2,719813108E0"",""8,427590370E0""",166
"167,""7,661445439E-2"",""8,810662031E-1"",""1,272757626E1""",167
"168,""-7,661445439E-2"",""2,260126352E0"",""9,538499832E0""",168
"169,""-1,762132406E0"",""2,260126352E0"",""9,701305389E0""",169
"170,""-6,895300746E-1"",""1,493981838E0"",""1,193270111E1""",170
"171,""6,895300746E-1"",""2,413355350E0"",""1,049618053E1""",171
"172,""5,363011956E-1"",""2,566584110E0"",""9,069235802E0""",172
"173,""-1,608903527E0"",""2,106897593E0"",""8,906430244E0""",173
"174,""-1,302445769E0"",""3,332728863E0"",""9,701305389E0""",174
"175,""3,830722570E-1"",""2,106897593E0"",""9,222464561E0""",175
"176,""9,959878922E-1"",""1,953668594E0"",""1,034295177E1""",176
"177,""-6,895300746E-1"",""2,566584110E0"",""8,274360657E0""",177
"178,""-5,363011956E-1"",""3,792415380E0"",""6,521805286E0""",178
"179,""8,427590132E-1"",""2,719813108E0"",""7,795520782E0""",179
"180,""8,427590132E-1"",""2,260126352E0"",""8,906430244E0""",180
"181,""-7,661445439E-2"",""2,873042107E0"",""7,632715225E0""",181
"182,""-1,915361404E0"",""2,719813108E0"",""9,864110947E0""",182
"183,""-6,895300746E-1"",""3,179499865E0"",""9,864110947E0""",183
"184,""6,895300746E-1"",""4,098873138E0"",""8,274360657E0""",184
"185,""-7,661445439E-2"",""3,639186621E0"",""1,081221485E1""",185
"186,""-1,762132406E0"",""3,485957623E0"",""9,222464561E0""",186
"187,""-6,895300746E-1"",""2,873042107E0"",""1,065898609E1""",187
"188,""3,830722570E-1"",""2,413355350E0"",""9,069235802E0""",188
"189,""1,149216771E0"",""3,179499865E0"",""1,018014526E1""",189
"190,""-7,661445439E-2"",""2,566584110E0"",""9,538499832E0""",190
"191,""-1,455674648E0"",""3,026270866E0"",""9,222464561E0""",191
"192,""-6,895300746E-1"",""3,179499865E0"",""7,153874874E0""",192
"193,""-1,302445769E0"",""3,792415380E0"",""1,034295177E1""",193
"194,""-9,959878922E-1"",""3,332728863E0"",""9,222464561E0""",194
"195,""5,363011956E-1"",""3,026270866E0"",""7,153874874E0""",195
"196,""3,830722570E-1"",""3,026270866E0"",""8,427590370E0""",196
"197,""1,762132406E0"",""4,865017891E0"",""8,906430244E0""",197
"198,""1,302445769E0"",""3,026270866E0"",""9,538499832E0""",198
