Time (s),Illuminance (lx)
0,"1,500000000E1"
1,"2,600000000E1"
2,"6,200000000E1"
3,"6,000000000E0"
4,"6,000000000E0"
5,"6,000000000E0"
6,"4,000000000E0"
7,"6,000000000E0"
8,"8,000000000E0"
9,"8,000000000E0"
10,"4,000000000E0"
11,"4,000000000E0"
12,"4,997000000E3"
13,"3,212000000E3"
14,"5,280000000E3"
15,"6,676000000E3"
16,"7,292000000E3"
17,"5,315000000E3"
18,"5,834000000E3"
19,"3,516000000E3"
20,"4,032000000E3"
21,"2,121000000E3"
22,"2,800000000E1"
23,"3,000000000E0"
24,"2,000000000E0"
25,"3,000000000E0"
26,"3,000000000E0"
27,"3,000000000E0"
28,"2,000000000E0"
29,"3,000000000E0"
30,"1,700000000E1"
31,"4,000000000E0"
32,"2,680000000E2"
33,"8,414000000E3"
34,"7,144000000E3"
35,"5,783000000E3"
36,"7,861000000E3"
37,"6,861000000E3"
38,"5,972000000E3"
39,"2,434000000E3"
40,"4,221000000E3"
41,"5,915000000E3"
42,"7,437000000E3"
43,"1,032800000E4"
44,"8,351000000E3"
45,"8,081000000E3"
46,"7,138000000E3"
47,"5,994000000E3"
48,"6,883000000E3"
49,"7,251000000E3"
50,"8,002000000E3"
51,"7,279000000E3"
52,"6,748000000E3"
53,"7,644000000E3"
54,"7,484000000E3"
55,"8,468000000E3"
56,"8,241000000E3"
57,"7,521000000E3"
58,"7,078000000E3"
59,"6,790000000E3"
60,"6,440000000E3"
61,"7,248000000E3"
62,"7,980000000E3"
63,"9,082000000E3"
64,"8,304000000E3"
65,"7,735000000E3"
66,"7,793000000E3"
67,"8,407000000E3"
68,"8,299000000E3"
69,"7,852000000E3"
70,"8,086000000E3"
71,"8,236000000E3"
72,"8,141000000E3"
73,"7,980000000E3"
74,"7,965000000E3"
75,"8,095000000E3"
76,"8,251000000E3"
77,"8,238000000E3"
78,"7,938000000E3"
79,"7,771000000E3"
80,"6,352000000E3"
81,"5,153000000E3"
82,"8,769000000E3"
83,"9,829000000E3"
84,"8,342000000E3"
85,"8,090000000E3"
86,"6,582000000E3"
87,"7,251000000E3"
88,"8,427000000E3"
89,"7,449000000E3"
90,"6,814000000E3"
91,"7,308000000E3"
92,"7,622000000E3"
93,"7,462000000E3"
94,"6,720000000E3"
95,"5,777000000E3"
96,"6,546000000E3"
97,"7,842000000E3"
98,"7,226000000E3"
99,"7,053000000E3"
100,"6,792000000E3"
