Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,"-1,875000000E0","-2,843750000E1","-4,937500000E0"
1,"-1,000000000E0","-2,256250000E1","-1,125000000E1"
2,"-5,250000000E0","-1,625000000E1","-1,700000000E1"
3,"-1,756250000E1","-2,762500000E1","-3,875000000E1"
4,"-1,268750000E1","-2,681250000E1","-4,068750000E1"
5,"-2,062500000E0","-8,750000000E0","-4,712500000E1"
6,"1,231250000E1","-1,625000000E1","-4,375000000E1"
7,"2,556250000E1","-2,281250000E1","-3,618750000E1"
8,"2,618750000E1","-2,275000000E1","-3,562500000E1"
9,"-1,087500000E1","-1,306250000E1","-4,400000000E1"
10,"2,062500000E0","-1,156250000E1","-4,600000000E1"
11,"-5,625000000E-1","-1,962500000E1","-4,337500000E1"
12,"2,212500000E1","-3,250000000E1","-3,256250000E1"
13,"3,225000000E1","7,062500000E0","-3,093750000E1"
14,"1,706250000E1","-4,500000000E0","-4,118750000E1"
15,"3,537500000E1","-3,356250000E1","-3,625000000E1"
16,"3,243750000E1","-2,550000000E1","-2,568750000E1"
17,"2,881250000E1","-3,868750000E1","-1,812500000E1"
18,"2,475000000E1","-3,931250000E1","-1,375000000E1"
19,"4,350000000E1","-1,737500000E1","-6,250000000E0"
20,"2,112500000E1","-2,937500000E1","-3,350000000E1"
21,"2,600000000E1","1,437500000E0","3,956250000E1"
22,"3,181250000E1","-9,875000000E0","3,843750000E1"
23,"3,075000000E1","-5,000000000E0","4,287500000E1"
24,"2,275000000E1","-7,375000000E0","4,787500000E1"
25,"1,981250000E1","-1,331250000E1","4,843750000E1"
26,"1,018750000E1","-3,406250000E1","4,525000000E1"
27,"1,975000000E1","-2,925000000E1","4,437500000E1"
28,"2,937500000E1","-1,937500000E1","3,775000000E1"
29,"2,825000000E1","-1,725000000E1","4,018750000E1"
30,"2,875000000E1","-1,412500000E1","3,831250000E1"
31,"3,687500000E1","-2,575000000E1","1,887500000E1"
32,"2,393750000E1","-3,500000000E1","-3,062500000E1"
33,"1,925000000E1","-2,787500000E1","-4,075000000E1"
34,"3,000000000E1","-1,700000000E1","-4,031250000E1"
35,"2,406250000E1","-4,025000000E1","-2,437500000E1"
36,"2,206250000E1","-4,225000000E1","-2,156250000E1"
37,"1,600000000E1","-3,906250000E1","-2,875000000E1"
38,"2,637500000E1","-3,618750000E1","-4,706250000E1"
39,"2,312500000E1","-2,850000000E1","-4,293750000E1"
40,"2,631250000E1","-3,568750000E1","-2,968750000E1"
41,"2,168750000E1","-2,631250000E1","-3,293750000E1"
42,"6,062500000E0","-3,812500000E1","-3,393750000E1"
43,"-6,250000000E0","-3,906250000E1","-3,262500000E1"
44,"-8,125000000E-1","-3,262500000E1","-3,768750000E1"
45,"-7,312500000E0","-3,606250000E1","-3,006250000E1"
46,"-4,937500000E0","-3,806250000E1","-2,675000000E1"
47,"-5,562500000E0","-3,562500000E1","-2,550000000E1"
48,"1,000000000E0","-2,981250000E1","-3,293750000E1"
49,"-2,062500000E0","-3,325000000E1","-3,287500000E1"
50,"-8,375000000E0","-3,656250000E1","-2,787500000E1"
51,"-2,937500000E0","-3,437500000E1","-3,012500000E1"
52,"-4,375000000E0","-3,593750000E1","-2,825000000E1"
53,"0,000000000E0","-3,700000000E1","-3,218750000E1"
54,"-2,625000000E0","-3,543750000E1","-3,381250000E1"
55,"-6,250000000E0","-3,450000000E1","-3,518750000E1"
56,"-5,875000000E0","-3,450000000E1","-3,481250000E1"
57,"2,125000000E1","-1,043750000E1","-4,281250000E1"
58,"2,206250000E1","-8,375000000E0","-4,381250000E1"
59,"6,437500000E0","-3,806250000E1","-3,000000000E1"
60,"1,075000000E1","-3,256250000E1","-3,362500000E1"
61,"1,268750000E1","-3,262500000E1","-3,356250000E1"
62,"9,750000000E0","-3,312500000E1","-3,237500000E1"
63,"1,875000000E-1","-3,631250000E1","-2,975000000E1"
64,"2,000000000E0","-4,025000000E1","-2,568750000E1"
65,"1,312500000E0","-3,943750000E1","-2,593750000E1"
66,"2,375000000E0","-3,756250000E1","-2,912500000E1"
67,"-1,875000000E0","-3,875000000E1","-2,693750000E1"
68,"-2,187500000E0","-4,025000000E1","-2,512500000E1"
69,"-2,500000000E-1","-3,950000000E1","-2,731250000E1"
70,"-1,562500000E0","-3,906250000E1","-2,756250000E1"
71,"-1,375000000E0","-3,912500000E1","-2,718750000E1"
72,"-4,375000000E-1","-3,943750000E1","-2,668750000E1"
73,"-8,125000000E-1","-3,900000000E1","-2,737500000E1"
74,"-8,125000000E-1","-3,887500000E1","-2,862500000E1"
75,"7,875000000E0","-1,881250000E1","-4,693750000E1"
76,"4,437500000E0","-3,368750000E1","-3,843750000E1"
77,"3,125000000E0","-3,562500000E1","-3,825000000E1"
78,"-9,250000000E0","-3,543750000E1","-3,018750000E1"
79,"-1,393750000E1","-3,850000000E1","-3,687500000E1"
80,"-1,212500000E1","-4,212500000E1","-3,256250000E1"
81,"-1,625000000E1","-3,281250000E1","-3,356250000E1"
82,"-4,375000000E0","-2,725000000E1","-4,731250000E1"
83,"-1,243750000E1","-2,743750000E1","-3,800000000E1"
84,"-1,731250000E1","-2,512500000E1","-3,987500000E1"
85,"-1,593750000E1","-2,875000000E1","-2,725000000E1"
86,"-1,500000000E1","-3,187500000E1","-3,206250000E1"
87,"-1,793750000E1","-3,600000000E1","-3,112500000E1"
88,"-1,906250000E1","-3,681250000E1","-2,450000000E1"
89,"-5,312500000E0","-3,218750000E1","-3,731250000E1"
90,"4,750000000E0","-3,256250000E1","-3,856250000E1"
91,"1,875000000E-1","-3,193750000E1","-3,562500000E1"
92,"-2,000000000E0","-3,200000000E1","-3,112500000E1"
93,"-8,250000000E0","-3,437500000E1","-3,381250000E1"
94,"-6,687500000E0","-3,150000000E1","-3,500000000E1"
95,"-8,750000000E-1","-1,881250000E1","-4,137500000E1"
96,"4,375000000E-1","-2,918750000E1","-3,975000000E1"
97,"-9,375000000E0","-2,868750000E1","-4,325000000E1"
98,"-6,687500000E0","-2,900000000E1","-4,350000000E1"
99,"-9,687500000E0","-3,231250000E1","-3,537500000E1"
100,"-7,000000000E0","-3,293750000E1","-3,387500000E1"
101,"-9,312500000E0","-2,943750000E1","-3,012500000E1"
102,"-1,243750000E1","-3,068750000E1","-3,518750000E1"
103,"-1,087500000E1","-3,231250000E1","-3,568750000E1"
104,"-1,293750000E1","-3,337500000E1","-3,506250000E1"
105,"-8,562500000E0","-3,750000000E1","-3,375000000E1"
106,"-5,937500000E0","-3,181250000E1","-2,356250000E1"
107,"-6,125000000E0","-3,087500000E1","-2,825000000E1"
108,"-8,000000000E0","-2,750000000E1","-3,356250000E1"
109,"-9,687500000E0","-2,725000000E1","-3,137500000E1"
110,"-1,168750000E1","-2,693750000E1","-2,956250000E1"
111,"-9,000000000E0","-3,312500000E1","-3,000000000E1"
112,"-1,168750000E1","-3,256250000E1","-3,050000000E1"
113,"-1,700000000E1","-3,368750000E1","-2,700000000E1"
114,"-7,187500000E0","-3,262500000E1","-3,218750000E1"
115,"-1,687500000E0","-3,100000000E1","-4,287500000E1"
116,"-4,562500000E0","-3,056250000E1","-3,862500000E1"
117,"-5,875000000E0","-3,075000000E1","-3,675000000E1"
118,"-2,187500000E0","-3,006250000E1","-3,581250000E1"
119,"-5,500000000E0","-2,631250000E1","-3,387500000E1"
120,"-1,056250000E1","-2,512500000E1","-3,568750000E1"
121,"-1,343750000E1","-2,837500000E1","-3,606250000E1"
122,"-1,793750000E1","-2,943750000E1","-3,262500000E1"
123,"-1,375000000E1","-3,187500000E1","-3,187500000E1"
124,"-9,875000000E0","-2,931250000E1","-3,000000000E1"
125,"-9,875000000E0","-2,875000000E1","-2,943750000E1"
126,"-1,106250000E1","-3,043750000E1","-2,918750000E1"
127,"-3,875000000E0","-2,718750000E1","-3,787500000E1"
128,"-2,687500000E0","-2,825000000E1","-3,812500000E1"
129,"-6,250000000E-1","-2,775000000E1","-3,831250000E1"
130,"-3,625000000E0","-2,762500000E1","-3,906250000E1"
131,"3,500000000E0","-2,887500000E1","-3,700000000E1"
132,"2,062500000E0","-2,912500000E1","-3,643750000E1"
133,"3,750000000E0","-2,775000000E1","-3,662500000E1"
134,"-1,250000000E-1","-2,900000000E1","-3,793750000E1"
135,"4,125000000E0","-2,731250000E1","-3,706250000E1"
136,"2,312500000E0","-2,887500000E1","-3,881250000E1"
137,"2,250000000E0","-2,818750000E1","-4,000000000E1"
138,"3,812500000E0","-3,125000000E1","-3,331250000E1"
139,"-1,250000000E0","-2,787500000E1","-3,825000000E1"
140,"-2,750000000E0","-3,000000000E1","-3,543750000E1"
141,"-2,312500000E0","-2,756250000E1","-3,425000000E1"
142,"-1,062500000E0","-2,900000000E1","-3,518750000E1"
143,"1,750000000E0","-2,468750000E1","-2,593750000E1"
144,"-3,562500000E0","-3,468750000E1","-3,300000000E1"
145,"-2,375000000E0","-3,225000000E1","-3,518750000E1"
146,"-1,750000000E0","-2,793750000E1","-4,037500000E1"
147,"-4,375000000E-1","-3,075000000E1","-3,943750000E1"
148,"-2,125000000E0","-3,193750000E1","-3,768750000E1"
149,"-2,812500000E0","-3,118750000E1","-3,981250000E1"
150,"-4,250000000E0","-3,068750000E1","-3,950000000E1"
151,"-2,125000000E0","-3,181250000E1","-3,981250000E1"
152,"-2,125000000E0","-3,400000000E1","-3,668750000E1"
153,"-5,500000000E0","-3,312500000E1","-3,606250000E1"
154,"-3,875000000E0","-2,843750000E1","-3,668750000E1"
155,"2,312500000E0","-2,437500000E1","-4,562500000E1"
156,"4,750000000E0","-2,931250000E1","-4,162500000E1"
157,"6,250000000E-1","-2,743750000E1","-4,231250000E1"
158,"-3,125000000E-1","-2,850000000E1","-4,218750000E1"
159,"1,875000000E-1","-3,012500000E1","-4,125000000E1"
160,"-5,187500000E0","-2,781250000E1","-4,225000000E1"
161,"-4,875000000E0","-2,931250000E1","-4,093750000E1"
162,"-5,937500000E0","-3,056250000E1","-3,787500000E1"
163,"-2,437500000E0","-2,843750000E1","-4,250000000E1"
164,"-3,125000000E0","-2,806250000E1","-3,781250000E1"
165,"-4,250000000E0","-2,593750000E1","-3,818750000E1"
166,"-2,000000000E0","-2,981250000E1","-3,981250000E1"
167,"-3,062500000E0","-2,568750000E1","-4,131250000E1"
168,"1,250000000E-1","-2,875000000E1","-3,862500000E1"
169,"1,062500000E0","-2,781250000E1","-4,293750000E1"
170,"-3,562500000E0","-2,637500000E1","-4,250000000E1"
171,"-5,812500000E0","-2,681250000E1","-4,293750000E1"
172,"-1,012500000E1","-3,243750000E1","-3,631250000E1"
173,"-8,875000000E0","-2,968750000E1","-4,037500000E1"
174,"-3,625000000E0","-2,981250000E1","-3,875000000E1"
175,"-6,062500000E0","-2,887500000E1","-3,850000000E1"
176,"-6,125000000E0","-3,218750000E1","-3,593750000E1"
177,"-7,437500000E0","-3,306250000E1","-3,643750000E1"
178,"-8,062500000E0","-2,806250000E1","-3,693750000E1"
179,"-8,562500000E0","-2,968750000E1","-3,768750000E1"
180,"-5,562500000E0","-2,837500000E1","-3,981250000E1"
181,"-3,562500000E0","-2,943750000E1","-3,987500000E1"
182,"-4,062500000E0","-2,975000000E1","-4,093750000E1"
183,"5,500000000E0","-3,062500000E1","-4,093750000E1"
184,"-8,375000000E0","-3,587500000E1","-3,418750000E1"
185,"-7,125000000E0","-3,187500000E1","-3,950000000E1"
186,"-2,500000000E0","-3,343750000E1","-3,925000000E1"
187,"-1,875000000E0","-3,350000000E1","-3,918750000E1"
188,"-3,437500000E0","-3,168750000E1","-4,037500000E1"
189,"-3,250000000E0","-2,968750000E1","-4,237500000E1"
190,"-2,437500000E0","-3,000000000E1","-4,125000000E1"
191,"-4,812500000E0","-2,968750000E1","-4,112500000E1"
192,"-5,437500000E0","-3,012500000E1","-4,018750000E1"
193,"9,062500000E0","-3,531250000E1","-4,093750000E1"
194,"-1,187500000E0","-3,293750000E1","-3,793750000E1"
195,"-2,625000000E0","-3,250000000E1","-3,825000000E1"
196,"-4,000000000E0","-3,318750000E1","-3,718750000E1"
197,"-1,312500000E1","-3,787500000E1","-2,843750000E1"
198,"-5,437500000E0","-3,350000000E1","-3,731250000E1"
199,"-3,750000000E0","-3,356250000E1","-3,737500000E1"
200,"-5,500000000E0","-3,493750000E1","-3,450000000E1"
201,"-6,750000000E0","-3,181250000E1","-3,731250000E1"
202,"-5,312500000E0","-3,118750000E1","-3,706250000E1"
203,"-1,750000000E0","-3,306250000E1","-3,737500000E1"
204,"-4,312500000E0","-3,118750000E1","-3,843750000E1"
205,"2,500000000E0","-3,443750000E1","-3,737500000E1"
206,"5,062500000E0","-2,875000000E1","-3,706250000E1"
207,"3,750000000E-1","-2,600000000E1","-4,075000000E1"
208,"-2,312500000E0","-2,912500000E1","-4,256250000E1"
209,"-1,187500000E0","-3,337500000E1","-3,981250000E1"
210,"-6,562500000E0","-3,387500000E1","-2,175000000E1"
211,"-2,625000000E0","-1,350000000E1","-3,143750000E1"
212,"6,625000000E0","-1,381250000E1","-3,706250000E1"
213,"6,875000000E0","-1,262500000E1","-3,456250000E1"
214,"3,250000000E0","-2,150000000E1","-4,562500000E1"
215,"-1,875000000E0","-3,181250000E1","-4,268750000E1"
216,"-2,437500000E0","-4,275000000E1","-4,906250000E1"
217,"-6,250000000E0","-4,200000000E1","-4,737500000E1"
218,"-7,000000000E0","-5,156250000E1","-4,581250000E1"
219,"5,000000000E-1","-3,787500000E1","-4,068750000E1"
220,"-6,562500000E0","-4,231250000E1","-2,706250000E1"
221,"-2,000000000E0","-3,462500000E1","-3,575000000E1"
222,"-5,500000000E0","-3,443750000E1","-3,256250000E1"
223,"-3,062500000E0","-3,975000000E1","-2,925000000E1"
224,"-2,625000000E0","-3,431250000E1","-3,518750000E1"
225,"-4,250000000E0","-3,243750000E1","-3,362500000E1"
226,"-4,375000000E0","-3,837500000E1","-2,812500000E1"
227,"5,000000000E-1","-3,700000000E1","-3,450000000E1"
228,"9,375000000E-1","-3,312500000E1","-3,393750000E1"
229,"3,875000000E0","-3,131250000E1","-3,875000000E1"
230,"2,187500000E0","-3,906250000E1","-3,693750000E1"
231,"-6,250000000E0","-3,725000000E1","-3,168750000E1"
232,"-2,750000000E0","-3,306250000E1","-4,062500000E1"
233,"-8,375000000E0","-3,256250000E1","-3,200000000E1"
234,"-7,500000000E0","-3,318750000E1","-3,612500000E1"
235,"-8,937500000E0","-3,506250000E1","-2,981250000E1"
236,"-6,062500000E0","-3,181250000E1","-3,612500000E1"
237,"-7,812500000E0","-3,075000000E1","-3,825000000E1"
238,"-8,937500000E0","-3,037500000E1","-3,593750000E1"
239,"-1,137500000E1","-2,943750000E1","-3,412500000E1"
240,"-7,125000000E0","-2,793750000E1","-3,787500000E1"
241,"-8,875000000E0","-3,031250000E1","-3,375000000E1"
242,"-7,812500000E0","-3,062500000E1","-3,237500000E1"
243,"-5,000000000E0","-2,750000000E1","-3,062500000E1"
244,"-6,687500000E0","-3,762500000E1","-3,143750000E1"
245,"-9,375000000E0","-3,325000000E1","-3,481250000E1"
246,"-7,812500000E0","-3,406250000E1","-3,393750000E1"
247,"-1,212500000E1","-2,962500000E1","-3,631250000E1"
248,"-1,231250000E1","-3,068750000E1","-3,612500000E1"
249,"-1,637500000E1","-2,906250000E1","-3,450000000E1"
250,"-7,437500000E0","-2,950000000E1","-3,675000000E1"
251,"-6,187500000E0","-2,912500000E1","-4,362500000E1"
252,"-7,062500000E0","-2,887500000E1","-3,750000000E1"
253,"-7,187500000E0","-3,162500000E1","-3,487500000E1"
254,"-5,750000000E0","-3,243750000E1","-3,312500000E1"
255,"-1,025000000E1","-3,756250000E1","-3,362500000E1"
256,"-1,062500000E1","-3,056250000E1","-3,475000000E1"
257,"-9,000000000E0","-3,075000000E1","-3,675000000E1"
258,"-8,000000000E0","-3,743750000E1","-3,981250000E1"
259,"1,500000000E1","-3,693750000E1","-2,068750000E1"
260,"-3,875000000E0","-2,543750000E1","-3,675000000E1"
261,"-6,750000000E0","-2,962500000E1","-4,125000000E1"
262,"-5,250000000E0","-2,887500000E1","-4,000000000E1"
263,"-9,687500000E0","-3,187500000E1","-4,500000000E1"
264,"-1,762500000E1","-3,443750000E1","-4,862500000E1"
265,"-2,168750000E1","-3,712500000E1","-4,781250000E1"
266,"-2,512500000E1","-3,350000000E1","-4,818750000E1"
267,"-2,400000000E1","-3,568750000E1","-4,950000000E1"
268,"-1,393750000E1","-3,106250000E1","-4,231250000E1"
269,"-1,393750000E1","-3,037500000E1","-3,856250000E1"
270,"-1,343750000E1","-2,912500000E1","-4,312500000E1"
271,"-1,143750000E1","-3,387500000E1","-6,156250000E1"
272,"1,800000000E1","-3,593750000E1","-5,162500000E1"
273,"1,262500000E1","-3,000000000E1","-4,781250000E1"
274,"2,075000000E1","-2,193750000E1","-4,362500000E1"
275,"2,043750000E1","-2,537500000E1","-4,137500000E1"
276,"2,425000000E1","-1,881250000E1","-4,156250000E1"
277,"2,131250000E1","-1,825000000E1","-4,250000000E1"
278,"2,262500000E1","-2,037500000E1","-4,050000000E1"
279,"1,793750000E1","-3,031250000E1","-3,593750000E1"
280,"1,850000000E1","-1,575000000E1","-4,300000000E1"
281,"2,756250000E1","-2,281250000E1","-5,537500000E1"
282,"2,125000000E1","-2,918750000E1","-4,643750000E1"
283,"1,918750000E1","-2,443750000E1","-4,506250000E1"
284,"2,050000000E1","-2,262500000E1","-4,568750000E1"
285,"2,012500000E1","-1,750000000E1","-4,668750000E1"
286,"1,787500000E1","-1,931250000E1","-4,737500000E1"
287,"9,500000000E0","-2,243750000E1","-4,906250000E1"
288,"-3,750000000E0","-3,306250000E1","-5,481250000E1"
289,"5,062500000E0","-3,075000000E1","-4,487500000E1"
290,"8,875000000E0","-3,200000000E1","-4,075000000E1"
291,"1,287500000E1","-2,750000000E1","-3,631250000E1"
292,"8,500000000E0","-3,881250000E1","-3,406250000E1"
293,"5,312500000E0","-3,493750000E1","-3,843750000E1"
