"property";"value"
"version";"1.1.11"
"build";"1011102"
"fileFormat";"1.15"
"deviceModel";"RNE-L21"
"deviceBrand";"HUAWEI"
"deviceBoard";"RNE"
"deviceManufacturer";"HUAWEI"
"deviceBaseOS";""
"deviceCodename";"REL"
"deviceRelease";"8.0.0"
"depthFrontSensor";"0"
"depthFrontResolution";"null"
"depthFrontRate";"null"
"depthBackSensor";"0"
"depthBackResolution";"null"
"depthBackRate";"null"
"accelerometer Name";"accelerometer-lis3dh"
"accelerometer Vendor";"STMicroelectronics"
"accelerometer Range";"78.4532"
"accelerometer Resolution";"0.009576807"
"accelerometer MinDelay";"5000"
"accelerometer MaxDelay";"200000"
"accelerometer Power";"0.23"
"accelerometer Version";"1"
"linear_acceleration Name";"linear Acceleration"
"linear_acceleration Vendor";"huawei"
"linear_acceleration Range";"78.4532"
"linear_acceleration Resolution";"0.009576807"
"linear_acceleration MinDelay";"10000"
"linear_acceleration MaxDelay";"20000"
"linear_acceleration Power";"0.2"
"linear_acceleration Version";"1"
"gravity Name";"gravity"
"gravity Vendor";"huawei"
"gravity Range";"9.80665"
"gravity Resolution";"0.15328126"
"gravity MinDelay";"10000"
"gravity MaxDelay";"20000"
"gravity Power";"0.2"
"gravity Version";"1"
"gyroscope Name";"null"
"gyroscope Vendor";"null"
"gyroscope Range";"null"
"gyroscope Resolution";"null"
"gyroscope MinDelay";"null"
"gyroscope MaxDelay";"null"
"gyroscope Power";"null"
"gyroscope Version";"null"
"magnetic_field Name";"mag-akm09918"
"magnetic_field Vendor";"akm"
"magnetic_field Range";"2000.0"
"magnetic_field Resolution";"0.0625"
"magnetic_field MinDelay";"10000"
"magnetic_field MaxDelay";"0"
"magnetic_field Power";"6.8"
"magnetic_field Version";"1"
"pressure Name";"null"
"pressure Vendor";"null"
"pressure Range";"null"
"pressure Resolution";"null"
"pressure MinDelay";"null"
"pressure MaxDelay";"null"
"pressure Power";"null"
"pressure Version";"null"
"light Name";"light-ltr578"
"light Vendor";"liteon"
"light Range";"10000.0"
"light Resolution";"1.0"
"light MinDelay";"0"
"light MaxDelay";"0"
"light Power";"0.75"
"light Version";"1"
"proximity Name";"proximity-ltr578"
"proximity Vendor";"liteon"
"proximity Range";"5.0"
"proximity Resolution";"5.0"
"proximity MinDelay";"0"
"proximity MaxDelay";"0"
"proximity Power";"0.75"
"proximity Version";"1"
"temperature Name";"null"
"temperature Vendor";"null"
"temperature Range";"null"
"temperature Resolution";"null"
"temperature MinDelay";"null"
"temperature MaxDelay";"null"
"temperature Power";"null"
"temperature Version";"null"
"humidity Name";"null"
"humidity Vendor";"null"
"humidity Range";"null"
"humidity Resolution";"null"
"humidity MinDelay";"null"
"humidity MaxDelay";"null"
"humidity Power";"null"
"humidity Version";"null"
"attitude Name";"rotation Vector"
"attitude Vendor";"huawei"
"attitude Range";"1.0"
"attitude Resolution";"5.9604645E-8"
"attitude MinDelay";"10000"
"attitude MaxDelay";"20000"
"attitude Power";"6.1"
"attitude Version";"1"
