"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1686291628,061;"2023-06-09 08:20:28.061 UTC+02:00"
"PAUSE";3,133990103E0;1686291631,195;"2023-06-09 08:20:31.195 UTC+02:00"
"START";3,133990103E0;1686291666,481;"2023-06-09 08:21:06.481 UTC+02:00"
"PAUSE";9,321346873E0;1686291672,668;"2023-06-09 08:21:12.668 UTC+02:00"
"START";9,321346873E0;1686292230,479;"2023-06-09 08:30:30.479 UTC+02:00"
"PAUSE";1,228658125E1;1686292233,445;"2023-06-09 08:30:33.445 UTC+02:00"
"START";1,228658125E1;1686292480,921;"2023-06-09 08:34:40.921 UTC+02:00"
"PAUSE";1,902286813E3;1686294370,922;"2023-06-09 09:06:10.922 UTC+02:00"
"START";1,902286813E3;1686296904,471;"2023-06-09 09:48:24.471 UTC+02:00"
"PAUSE";2,307568648E3;1686297309,753;"2023-06-09 09:55:09.753 UTC+02:00"
"START";2,307568648E3;1686300615,700;"2023-06-09 10:50:15.700 UTC+02:00"
"PAUSE";2,309724126E3;1686300617,856;"2023-06-09 10:50:17.856 UTC+02:00"
"START";2,309724126E3;1686300670,482;"2023-06-09 10:51:10.482 UTC+02:00"
"PAUSE";2,364696573E3;1686300725,454;"2023-06-09 10:52:05.454 UTC+02:00"
"START";2,364696573E3;1686301312,922;"2023-06-09 11:01:52.922 UTC+02:00"
"PAUSE";3,137943148E3;1686302086,168;"2023-06-09 11:14:46.168 UTC+02:00"
"START";3,137943148E3;1686302640,206;"2023-06-09 11:24:00.206 UTC+02:00"
"PAUSE";3,432069559E3;1686302934,332;"2023-06-09 11:28:54.332 UTC+02:00"
"START";3,432069559E3;1686303125,016;"2023-06-09 11:32:05.016 UTC+02:00"
"PAUSE";4,723134601E3;1686304416,081;"2023-06-09 11:53:36.081 UTC+02:00"
"START";4,723134601E3;1686304829,375;"2023-06-09 12:00:29.375 UTC+02:00"
"PAUSE";7,246803653E3;1686307353,044;"2023-06-09 12:42:33.044 UTC+02:00"
