"Time (s)";"Illuminance (lx)"
5.680958100E-2;1.100000000E1
1.796403500E-1;1.100000000E1
2.196403500E-1;1.100000000E1
3.408910380E-1;1.100000000E1
3.808840380E-1;1.100000000E1
4.208910380E-1;1.100000000E1
4.808910380E-1;1.100000000E1
5.808760380E-1;1.100000000E1
6.208770380E-1;1.100000000E1
7.608910380E-1;1.100000000E1
7.808920380E-1;1.300000000E1
9.008920380E-1;1.500000000E1
1.040848077E0;1.600000000E1
1.180849077E0;1.700000000E1
1.220849077E0;1.700000000E1
1.320816769E0;1.700000000E1
1.460816769E0;1.700000000E1
1.580817769E0;1.700000000E1
1.740816769E0;1.700000000E1
1.780817769E0;1.700000000E1
1.880816769E0;1.700000000E1
1.980738768E0;1.700000000E1
2.020754768E0;1.800000000E1
2.160738768E0;1.800000000E1
2.300701036E0;1.900000000E1
2.380700036E0;1.900000000E1
2.440700036E0;1.900000000E1
2.580701036E0;1.900000000E1
2.720700036E0;1.900000000E1
2.780701036E0;1.900000000E1
2.820708036E0;1.900000000E1
2.860694036E0;1.900000000E1
2.980844268E0;1.800000000E1
3.020856268E0;1.800000000E1
3.140856268E0;1.800000000E1
3.280857268E0;1.800000000E1
3.380855268E0;1.800000000E1
3.420856268E0;1.800000000E1
3.560852114E0;1.800000000E1
3.580851114E0;1.800000000E1
3.620851114E0;1.800000000E1
3.700851114E0;1.800000000E1
3.780851114E0;1.900000000E1
3.820851114E0;1.800000000E1
3.980851114E0;1.700000000E1
4.020852114E0;1.500000000E1
4.120852114E0;1.500000000E1
4.260831498E0;1.100000000E1
4.400831498E0;1.100000000E1
4.540832498E0;1.100000000E1
4.580831498E0;1.100000000E1
4.620832498E0;1.100000000E1
4.680831498E0;1.100000000E1
4.780832498E0;1.100000000E1
4.820832498E0;1.100000000E1
4.960831498E0;1.100000000E1
4.980832498E0;1.000000000E1
5.020832498E0;9.000000000E0
5.100832498E0;9.000000000E0
5.180832498E0;8.000000000E0
5.240835498E0;7.000000000E0
5.380832498E0;6.000000000E0
5.420832498E0;6.000000000E0
5.520831498E0;6.000000000E0
5.580832498E0;5.000000000E0
5.660831498E0;5.000000000E0
5.780832498E0;5.000000000E0
5.940832498E0;5.000000000E0
6.080831498E0;5.000000000E0
6.220831498E0;5.000000000E0
6.360832498E0;5.000000000E0
6.380831498E0;5.000000000E0
6.420831498E0;5.000000000E0
6.500831498E0;5.000000000E0
6.580831498E0;5.000000000E0
6.640812498E0;5.000000000E0
6.780831498E0;5.000000000E0
6.820831498E0;5.000000000E0
6.920832498E0;5.000000000E0
6.980819498E0;5.000000000E0
7.060831498E0;5.000000000E0
7.180831498E0;5.000000000E0
7.220831498E0;6.000000000E0
7.340804498E0;6.000000000E0
7.380832498E0;8.000000000E0
7.480831498E0;9.000000000E0
7.620831498E0;1.300000000E1
7.760831498E0;1.300000000E1
7.780831498E0;1.300000000E1
7.900832498E0;1.400000000E1
7.980832498E0;1.400000000E1
8.020832498E0;1.600000000E1
8.180832498E0;1.500000000E1
8.220831498E0;1.400000000E1
8.320831498E0;1.400000000E1
8.380831498E0;1.100000000E1
8.420832498E0;9.000000000E0
8.460831498E0;9.000000000E0
8.580832498E0;7.000000000E0
8.620832498E0;6.000000000E0
8.740831498E0;6.000000000E0
8.780832498E0;5.000000000E0
8.880832498E0;4.000000000E0
8.980831498E0;4.000000000E0
9.020834498E0;4.000000000E0
9.160832498E0;4.000000000E0
9.180831498E0;3.000000000E0
9.220831498E0;3.000000000E0
9.300832498E0;3.000000000E0
9.420831498E0;3.000000000E0
9.580831498E0;4.000000000E0
9.720831498E0;4.000000000E0
9.780831498E0;4.000000000E0
9.860831498E0;4.000000000E0
1.000083250E1;5.000000000E0
1.002083150E1;4.000000000E0
1.014083150E1;4.000000000E0
1.022083150E1;4.000000000E0
1.028083250E1;4.000000000E0
1.042083150E1;4.000000000E0
1.056083250E1;4.000000000E0
1.070083150E1;4.000000000E0
1.082083150E1;4.000000000E0
1.098083150E1;4.000000000E0
1.102083250E1;4.000000000E0
1.112083150E1;4.000000000E0
1.126083250E1;4.000000000E0
1.140083150E1;4.000000000E0
1.142083250E1;4.000000000E0
1.154083250E1;4.000000000E0
1.158083250E1;4.000000000E0
1.168083150E1;4.000000000E0
1.182083250E1;5.000000000E0
1.196083150E1;5.000000000E0
1.210083150E1;5.000000000E0
1.218083250E1;4.000000000E0
1.224083150E1;4.000000000E0
1.238083150E1;4.000000000E0
1.252083250E1;4.000000000E0
1.258083250E1;4.000000000E0
1.262083250E1;4.000000000E0
