"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
3.750958100E-2;-4.401471138E0;2.587558508E0;-1.138824463E0
4.750958100E-2;-4.093921185E0;2.558680534E0;-1.345805168E0
5.750958100E-2;-3.943284512E0;2.273334265E0;-1.279993057E0
6.751008100E-2;-4.060891628E0;2.023949623E0;-1.428640366E0
7.750174700E-2;-3.859983444E0;1.425189495E0;-1.790212154E0
8.750024700E-2;-3.974673510E0;1.461001396E0;-1.798636913E0
9.750024700E-2;-4.077166557E0;1.495767593E0;-1.805586338E0
1.075002470E-1;-4.174141407E0;1.532871723E0;-1.812094212E0
1.175003890E-1;-3.289134741E0;1.870244503E0;-1.588484764E0
1.275003890E-1;-3.389225960E0;1.937595367E0;-1.580436707E0
1.375003890E-1;-3.485002279E0;2.107145548E0;-1.452548981E0
1.475004890E-1;-3.441817284E0;2.274991035E0;-1.240548134E0
1.575004890E-1;-3.774383545E0;2.289393425E0;-3.305864334E-1
1.674982390E-1;-3.865900755E0;2.340443373E0;-3.337917328E-1
1.774982390E-1;-3.898532867E0;2.398099899E0;-1.026058197E-1
1.874982390E-1;-3.831863880E0;2.426851749E0;1.812934875E-1
1.974977720E-1;-3.337831497E0;2.113449097E0;-2.282133102E-1
2.069962090E-1;-3.451884508E0;2.147897482E0;-2.200956345E-1
2.160535610E-1;-3.563320398E0;2.176800489E0;-2.097530365E-1
0.000000000E0;-3.149123430E0;1.987658739E0;-5.425472260E-1
1.000100000E-2;-3.346291780E0;1.737098336E0;-8.999252319E-1
2.000000000E-2;-2.826620340E0;1.540791750E0;-1.278497696E0
2.999950000E-2;-2.933454275E0;1.627455354E0;-1.467969894E0
3.999916600E-2;-2.913293362E0;1.577951312E0;-1.507829666E0
4.999916600E-2;-2.935378313E0;1.546610475E0;-1.338813782E0
5.999916600E-2;-3.415695429E0;1.949782610E0;-6.772546768E-1
6.999899900E-2;-3.743055820E0;2.193472385E0;-1.365594864E-1
7.999714100E-2;-4.299643517E0;2.452981949E0;4.701023102E-1
8.999714100E-2;-4.288133144E0;2.672193050E0;1.063278198E0
9.999702900E-2;-3.613725424E0;2.919225931E0;1.235259056E0
1.099969290E-1;-3.617099762E0;2.845135212E0;1.053604126E0
1.199968380E-1;-3.756666660E0;2.779814482E0;9.667577744E-1
1.299968380E-1;-3.829245567E0;2.580174446E0;4.562044144E-1
1.399968380E-1;-3.505122423E0;2.572954178E0;-5.768585205E-2
1.499966950E-1;-3.602084875E0;2.604398251E0;-6.569862366E-2
1.599961610E-1;-3.677640438E0;2.586451769E0;-2.557563782E-1
1.699961610E-1;-3.678786755E0;2.619259596E0;-5.139617920E-1
1.799961020E-1;-3.104100466E0;2.092394114E0;-4.998779297E-2
1.895501570E-1;-3.196039915E0;2.127004385E0;-3.055381775E-2
1.987066300E-1;-3.290497780E0;2.165267706E0;-9.849548340E-3
2.147326300E-1;-3.048683405E0;2.014433146E0;1.074657440E-1
2.247336300E-1;-2.821535110E0;1.978308320E0;3.692054749E-2
2.347336300E-1;-2.562945843E0;2.296705723E0;-3.205289841E-1
2.447331300E-1;-2.490878344E0;2.587106705E0;-9.167575836E-1
2.547331300E-1;-2.902256727E0;2.853333950E0;-1.792906761E0
2.647331300E-1;-3.552109003E0;2.795641899E0;-1.977704525E0
2.747329300E-1;-3.980145931E0;2.172842741E0;-1.601336002E0
2.847327630E-1;-3.833886385E0;2.090889215E0;-1.505922794E0
2.947326200E-1;-3.394782543E0;2.147718430E0;-1.409892082E0
3.047326200E-1;-2.253322124E0;1.672228098E0;-1.629384518E0
3.147325080E-1;-2.930061817E-1;1.038241625E0;-8.352947235E-1
3.247324080E-1;-3.130331039E-1;1.061982512E0;-8.295183182E-1
3.347324080E-1;-1.557123184E0;4.943507314E-1;-1.413662910E0
3.447324080E-1;-3.038786411E0;4.401555657E-1;-2.461990833E0
3.547323310E-1;-2.454318523E0;4.108476639E-1;-7.655324936E-1
3.647304020E-1;-2.411900759E0;4.011946917E-1;-7.817630768E-1
3.747293350E-1;-2.696653128E0;9.661189914E-1;-3.817214966E-1
3.847283970E-1;-3.261006355E0;2.916910648E0;-1.124657631E0
3.947274550E-1;-3.425165653E0;2.794909239E0;-1.319657326E0
4.042815100E-1;-3.413220167E0;2.838816166E0;-1.327774048E0
4.134379830E-1;-3.376068830E0;2.884384394E0;-1.345622063E0
4.294499830E-1;-2.818219900E0;3.097468376E0;-3.376626968E-1
4.394899830E-1;-2.118826866E0;3.068668604E0;8.458490372E-1
4.494639830E-1;-1.700983644E0;2.910022497E0;1.070079803E0
4.594509830E-1;-1.759067774E0;2.667385101E0;1.669146538E0
4.694426490E-1;-1.844900131E0;2.249771595E0;2.031611443E0
4.794363990E-1;-1.828680873E0;1.887745857E0;2.044124603E0
4.894311990E-1;-1.369483471E0;1.874301910E0;7.643690109E-1
4.994268650E-1;-1.557033062E0;1.887000322E0;1.092281342E0
5.094232930E-1;-1.698756218E0;1.566248178E0;1.363167763E0
5.194200430E-1;-2.171721458E0;1.264320970E0;1.566162109E0
5.294171540E-1;-2.796590328E0;1.149863243E0;1.805849075E0
5.394145540E-1;-2.838832855E0;1.093988895E0;1.832152367E0
5.494122810E-1;-3.014706612E0;1.022755384E0;1.065954208E0
5.594101970E-1;-3.405286789E0;8.757483959E-1;5.050201416E-1
5.694081970E-1;-4.066370010E0;1.014980674E0;-1.346054077E-1
5.794045540E-1;-3.963371992E0;9.776363373E-1;-1.814298630E-1
5.894028870E-1;-4.290844440E0;1.473832846E0;1.171579361E-1
5.994012620E-1;-4.417507648E0;1.616400480E0;2.763233185E-1
6.093997320E-1;-5.328170776E0;8.845837116E-1;6.718502045E-1
6.189523980E-1;-5.250485420E0;9.005734921E-1;6.345787048E-1
6.281075550E-1;-5.163105965E0;9.216127396E-1;5.933399200E-1
6.441345550E-1;-5.807146072E0;8.569692373E-1;7.130498886E-1
6.541345550E-1;-5.910682678E0;7.532951236E-1;1.645145416E-1
6.641335550E-1;-6.075999260E0;9.998011589E-2;3.065385818E-1
6.741330550E-1;-6.486850739E0;5.677837133E-2;2.462158203E-1
6.841327210E-1;-7.382653236E0;5.975788832E-1;2.432851791E-1
6.941297210E-1;-7.414945602E0;8.184992075E-1;2.161455154E-1
7.041303210E-1;-5.461325645E0;3.923670650E-1;5.664958954E-1
7.141301540E-1;-4.891627789E0;2.704087496E-1;7.990732193E-1
7.241301540E-1;-4.473697186E0;-7.511156797E-2;9.802465439E-1
6.794505160E-1;-4.335155487E0;2.213324308E-1;1.099526405E0
6.894504040E-1;-4.908900261E0;8.322997689E-1;6.529827118E-1
6.994476040E-1;-4.967535019E0;7.984559536E-1;6.194572449E-1
7.094475130E-1;-5.557224751E0;9.436856508E-1;4.397296906E-2
7.194475130E-1;-5.753665924E0;1.260527849E0;2.233409882E-2
7.294474360E-1;-5.377313137E0;1.453099728E0;7.464694977E-2
7.394457930E-1;-5.380079269E0;1.483843803E0;7.357025146E-2
7.494457930E-1;-5.423903465E0;1.385318995E0;3.518285751E-1
7.594457300E-1;-5.369620323E0;1.079302311E0;1.095473289E0
7.694456710E-1;-4.526050568E0;1.487992048E0;3.201306343E0
7.789997260E-1;-4.549130440E0;1.512899160E0;3.206903458E0
7.881561990E-1;-4.585348129E0;1.511268139E0;3.217773438E0
8.041831990E-1;-4.530282021E0;1.379586935E0;3.143553734E0
8.141831990E-1;-4.525407791E0;1.443361521E0;2.986361504E0
8.241821990E-1;-4.708969116E0;1.570200443E0;3.021349907E0
8.341681990E-1;-4.480430603E0;1.781938910E0;3.631148338E0
8.441591990E-1;-4.811434746E0;2.832863808E0;1.894704819E0
8.541524490E-1;-4.821800232E0;2.704296827E0;1.908514977E0
8.641468490E-1;-5.199763298E0;2.845992088E0;1.449623108E0
8.741421820E-1;-5.171963692E0;2.698325634E0;1.457416534E0
8.841393240E-1;-5.130271912E0;2.558766365E0;1.462195396E0
8.941393240E-1;-5.095416069E0;2.421368361E0;1.471045494E0
9.041392120E-1;-6.088983536E0;1.947629452E0;6.082687378E-1
9.141401120E-1;-6.070732117E0;1.865424037E0;6.735525131E-1
9.241401120E-1;-6.086783409E0;2.057996273E0;4.259939194E-1
9.341400280E-1;-5.768561363E0;2.003345490E0;-2.796077728E-1
9.441399510E-1;-4.534884930E0;2.027096033E0;-4.627981186E-1
9.541396650E-1;-4.594967842E0;1.602929115E0;-3.295669556E-1
9.641396650E-1;-5.898764133E0;2.303494930E0;-6.704244614E-1
9.741396650E-1;-6.645548820E0;1.700569630E0;-1.673642635E0
9.841396060E-1;-5.879955769E0;-1.517460346E-1;-3.391972542E0
9.936936610E-1;-5.917325020E0;-3.654365540E-1;-3.293635368E0
1.002850134E0;-5.916755199E0;-5.171728134E-1;-3.229671478E0
1.018877134E0;-5.686912060E0;-2.274744511E-1;-2.949549675E0
1.028876134E0;-5.496359825E0;2.162420750E-1;-1.765133858E0
1.038856134E0;-5.354218006E0;-7.294964790E-2;-2.241458893E-1
1.048856134E0;-5.166998863E0;1.002705097E-1;1.693840027E-1
1.058856467E0;-4.549349308E0;2.250323296E-1;6.973094940E-1
1.068856467E0;-3.983488083E0;4.624371529E-1;1.399020195E0
1.078856467E0;-3.959876060E0;8.300402164E-1;1.494221687E0
1.088856633E0;-4.352547646E0;1.103451490E0;1.240811348E0
