,acc_phone_x,acc_phone_y,acc_phone_z,lin_acc_phone_x,lin_acc_phone_y,lin_acc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelCycling,labelStairs,labelWalking,labelSitting,labelOther
1970-01-01 00:00:01.011252605,-0.2298433632,4.098873138,7.948749542000001,-0.421299994,-0.4377000034,-0.9017999768,-1.875,-28.4375,-4.9375,0,0,0,0,0
1970-01-01 00:00:01.261252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:01.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:01.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:02.011252605,0.2298433632,1.953668594,11.93270111,0.08209999651000001,-0.3956999779,1.086799979,-1.0,-22.5625,-11.25,0,0,0,0,0
1970-01-01 00:00:02.261252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:02.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:02.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:03.011252605,0.383072257,0.4213795066,9.538499832000001,0.4156000018,-0.07419999689,0.1515000015,-5.25,-16.25,-17.0,0,0,0,0,0
1970-01-01 00:00:03.261252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:03.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:03.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:04.011252605,1.149216771,3.639186621,10.34295177,0.5430999994,-0.4160999954,1.636699915,-17.5625,-27.625,-38.75,0,0,0,0,0
1970-01-01 00:00:04.261252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:04.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:04.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:05.011252605,-0.07661445438999999,3.945644379,9.069235802,0.5389999746999999,0.3489999771,0.3792999983,-12.6875,-26.8125,-40.6875,0,0,0,0,0
1970-01-01 00:00:05.261252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:05.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:05.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:06.011252605,-0.8427590131999999,3.79241538,9.385271072,1.036599994,0.9979999661,0.35060000420000004,-2.0625,-8.75,-47.125,0,0,0,0,0
1970-01-01 00:00:06.261252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:06.511252605,,,,,,,,,,0,0,0,0,0
