sensor_type,device_type,timestamps,x,y,z
magnetometer,smartphone,1024252570.9999999,-1.875,-28.4375,-4.9375
magnetometer,smartphone,2024252571.0,-1.0,-22.5625,-11.25
magnetometer,smartphone,3024252571.0000005,-5.25,-16.25,-17.0
magnetometer,smartphone,4162318228.9999995,-17.5625,-27.625,-38.75
magnetometer,smartphone,5162318228.999999,-12.6875,-26.8125,-40.6875
magnetometer,smartphone,6162318228.999999,-2.0625,-8.75,-47.125
magnetometer,smartphone,7162318228.999999,12.3125,-16.25,-43.75
magnetometer,smartphone,8162318229.0,25.5625,-22.8125,-36.1875
magnetometer,smartphone,9162318229.0,26.1875,-22.75,-35.625
magnetometer,smartphone,10346742770.0,-10.875,-13.0625,-44.0
magnetometer,smartphone,11346742770.0,2.0625,-11.5625,-46.0
magnetometer,smartphone,13315274480.0,-0.5625,-19.625,-43.375
magnetometer,smartphone,14315274480.0,22.125,-32.5,-32.5625
magnetometer,smartphone,15315274480.0,32.25,7.0625,-30.9375
magnetometer,smartphone,16315274480.0,17.0625,-4.5,-41.1875
magnetometer,smartphone,17315274480.0,35.375,-33.5625,-36.25
magnetometer,smartphone,18315274480.0,32.4375,-25.5,-25.6875
magnetometer,smartphone,19315274480.0,28.8125,-38.6875,-18.125
magnetometer,smartphone,20315274480.0,24.75,-39.3125,-13.75
magnetometer,smartphone,21315274480.0,43.5,-17.375,-6.25
magnetometer,smartphone,22315274480.0,21.125,-29.375,-33.5
magnetometer,smartphone,23315274480.0,26.0,1.4375,39.5625
magnetometer,smartphone,24315274480.0,31.8125,-9.875,38.4375
magnetometer,smartphone,25315274480.0,30.75,-5.0,42.875
magnetometer,smartphone,26315274480.0,22.75,-7.375,47.875
magnetometer,smartphone,27315274480.0,19.8125,-13.3125,48.4375
magnetometer,smartphone,28315274480.0,10.1875,-34.0625,45.25
magnetometer,smartphone,29315274480.0,19.75,-29.25,44.375
magnetometer,smartphone,30315274480.0,29.375,-19.375,37.75
magnetometer,smartphone,31315274480.0,28.25,-17.25,40.1875
magnetometer,smartphone,32315274480.0,28.75,-14.125,38.3125
magnetometer,smartphone,33315274480.0,36.875,-25.75,18.875
magnetometer,smartphone,34315274480.0,23.9375,-35.0,-30.625
magnetometer,smartphone,35315274480.0,19.25,-27.875,-40.75
magnetometer,smartphone,36315274480.0,30.0,-17.0,-40.3125
magnetometer,smartphone,37315274480.0,24.0625,-40.25,-24.375
magnetometer,smartphone,38315274480.0,22.0625,-42.25,-21.5625
magnetometer,smartphone,39315274480.0,16.0,-39.0625,-28.75
magnetometer,smartphone,40315274480.0,26.375,-36.1875,-47.0625
magnetometer,smartphone,41315274480.0,23.125,-28.5,-42.9375
magnetometer,smartphone,42315274480.0,26.3125,-35.6875,-29.6875
magnetometer,smartphone,43315274480.0,21.6875,-26.3125,-32.9375
magnetometer,smartphone,44315274480.0,6.0625,-38.125,-33.9375
magnetometer,smartphone,45315274480.0,-6.25,-39.0625,-32.625
magnetometer,smartphone,46315274480.0,-0.8125,-32.625,-37.6875
magnetometer,smartphone,47315274480.0,-7.3125,-36.0625,-30.0625
magnetometer,smartphone,48315274480.0,-4.9375,-38.0625,-26.75
magnetometer,smartphone,49315274480.0,-5.5625,-35.625,-25.5
magnetometer,smartphone,50315274480.0,1.0,-29.8125,-32.9375
magnetometer,smartphone,51315274480.0,-2.0625,-33.25,-32.875
magnetometer,smartphone,52315274480.0,-8.375,-36.5625,-27.875
magnetometer,smartphone,53315274480.0,-2.9375,-34.375,-30.125
magnetometer,smartphone,54315274480.0,-4.375,-35.9375,-28.25
magnetometer,smartphone,55315274480.0,0.0,-37.0,-32.1875
magnetometer,smartphone,56315274480.0,-2.625,-35.4375,-33.8125
magnetometer,smartphone,57315274480.0,-6.25,-34.5,-35.1875
magnetometer,smartphone,58315274480.0,-5.875,-34.5,-34.8125
magnetometer,smartphone,59315274480.0,21.25,-10.4375,-42.8125
magnetometer,smartphone,60315274480.0,22.0625,-8.375,-43.8125
magnetometer,smartphone,61315274480.0,6.4375,-38.0625,-30.0
magnetometer,smartphone,62315274480.0,10.75,-32.5625,-33.625
magnetometer,smartphone,63315274480.0,12.6875,-32.625,-33.5625
magnetometer,smartphone,64315274480.0,9.75,-33.125,-32.375
magnetometer,smartphone,65315274480.0,0.1875,-36.3125,-29.75
magnetometer,smartphone,66315274480.0,2.0,-40.25,-25.6875
magnetometer,smartphone,67315274480.0,1.3125,-39.4375,-25.9375
